# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE	COGNACY
38328	Karbi		big	thè	tʰ è	from :cite:Konnerth2014<br>:cite:Walker1925 entry: «the(dung)» (page: 206)			29701			Walker1925, Konnerth2014	the(dung)	29701
38599	Rabha	big / large	big	tem-poŋ	t e m + p o ŋ				10322			Joseph2007		10322
#
708	TibetanOldTibetan	black	black	nag-	n a g +			黑	511		黑		nag-	511
721	KirantiKhaling	black	black	kekêm	k e k ê m			黑	215		黑		kekêm	215
722	KirantiLimbu	black	black	mak	m a k			黑	519		黑		mak	519
737	rGyalrongJaphug	black	black	ɲaʁ	ɲ a ʁ			黑	511		黑		ɲaʁ	511
741	Tangut	black	black	njaa¹	n j aː ¹			黑	511		黑		njaa¹	511
17010	JingphoJingpho	black	black	tʃa̱ŋ³³	tʃ a̠ ŋ ³³				459	396796		STEDT/TBL	tʃa̱ŋ³³	459
17178	BodicTshangla	black	black	tɕhaŋ lu	? a ŋ _ l u				459	396784		STEDT/TBL	tɕhaŋ lu	459
18021	rGyalrongMaerkang	black	black	kə nɐk	k ə _ n ɐ k	Tib nag	IA		511	396788		STEDT/TBL	kə nɐk	29784
18363	TibetanLhasa	black	black	na¹³ko⁵⁵	n a ¹³ + k o ⁵⁵				511	396779		STEDT/TBL	na¹³ko⁵⁵	511
19065	DengDarangTaraon	black	black	mɑŋ⁵³	m ɑ ŋ ⁵³	=Ch, Limbu ?			519	396799		STEDT/TBL	mɑŋ⁵³	519
19300	rGyalrongDaofu	black	black	ȵa ȵa	ȵ a + ȵ a				511	396789		STEDT/TBL	ȵa ȵa	511
19739	NungicDulong	black	black	nɑʔ⁵⁵	n ɑ ʔ ⁵⁵				511	396797		STEDT/TBL	nɑʔ⁵⁵	511
20160	TibetanBatang	black	black	nɑ¹³nɑʔ⁵³	n ɑ ¹³ + n ɑ ʔ ⁵³				511	396780		STEDT/TBL	nɑ¹³nɑʔ⁵³	511
22400	QiangicZhaba	black	black	na⁵⁵na⁵⁵	n a ⁵⁵ + n a ⁵⁵				511	396791		STEDT/TBL	na⁵⁵na⁵⁵	511
22578	TibetanXiahe	black	black	naχ kwo	n a χ _ k w o				511	396781		STEDT/TBL	naχ kwo	511
23702	LoloishLisu	black	black	nɛ̱³³	n ɛ̠ ³³				511	396817		STEDT/TBL	nɛ̱³³	511
23795	TaniBokar	black	black	kaː jaŋ	k aː + j a ŋ				215	396801		STEDT/TBL	kaː jaŋ	215
24749	TibetanAlike	black	black	nok ko	n o k _ k o				511	396782		STEDT/TBL	nok ko	511
25057	DengYidu	black	black	mɑ⁵⁵	m ɑ ⁵⁵				519	396802		STEDT/TBL	mɑ⁵⁵	519
30772	SiniticOldChinese		black	m̥ˤək	m̥ˤ ə k			黑	519		黑	SagartMa2016	*m̥ˤək	519
31060	BurmishOldBurmese		black	nak	n a k				511			Hill2016		511
31565	KhroskyabsWobzi		black	ɲá	ɲ á				511			Lai2016		511
31819	ChepangChepang	very dark, black	black	tik.tak	t i k + t a k				3796	482018		Caughley2000		3796
31820	ChepangChepang	black, dark	black	gal-	g a l				3797	480214		Caughley2000		3797
32082	GaroGaro	black (vi)	black	gi-sim	g i s i m				3919	466163		Burling2003		3919
32400	KirantiThulung		black	kekem	k e k e m				215					215
32655	ChinHakha	black (adj.)	black	nak , a nak	n a k	[full entry: ]			511			VanBik2014		511
33015	TibetoKinauriBunan	black	black	kʰaj	kʰ a j	Comment (by Widmer2014): «ZZ kha-rlon»			215			Widmer2014		215
33184	TibetoKinauriByangsi	black	black	wamdɛ	w a m d ɛ				332	542607		Sharma2003		332
33405	TibetoKinauriRongpo	black	black	tiŋdə	t i ŋ d ə				466	547492		Sharma2003a		466
33636	KirantiKulung	black (adj.)	black	gugurpa	g u g u r p a	Nepali: kālo. (Tolsma1999)			614			Tolsma1999		614
33870	KirantiBantawa	black	black	makɨwa	m a k ɨ w a				749			Jongens2009:446		749
34215	BurmishAchang	black	black	lɔk⁵⁵	l ɔ k ⁵⁵				511			Huang1992		511
34216	BurmishAtsi	black	black	noʔ²¹	n o ʔ ²¹				511			Huang1992		511
34217	BurmishBola	black	black	naʔ³¹	n a ʔ ³¹				511			Huang1992		511
34219	BurmishLashi	black	black	nɔːʔ³¹	n ɔː ʔ ³¹				511			Huang1992		511
34220	BurmishMaru	black	black	nɔʔ³¹	n ɔ ʔ ³¹				511			Huang1992		511
34221	BurmishXiandao	black	black	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵				511			Huang1992		511
34657	BurmishRangoon		black	nɛʔ⁴	n ɛ ʔ ⁴				511			Huang1992		511
35716	KirantiBahing	black (adj)	black	kɛkɛ	k ɛ k ɛ				215	121786				215
35906	MizoLushai	black	black	dum	d u m				3433	255133				3433
35907	MizoLushai	black	black	hâng	h â ŋ				10222	255134				10222
36214	SiniticBeijing	black	black	xei⁵⁵	x e i ⁵⁵			黑	519		黑	BeijingDaxue1964		519
36215	SiniticGuangzhou	black	black	hɐk⁵	h ɐ k ⁵			黑	519		黑	BeijingDaxue1964		519
36216	SiniticChaozhou		black	ou³³	o u ³³				1628		烏			1628
36217	SiniticLonggang		black	vu³³	v u ³³				1628		烏			1628
36218	SiniticJieyang		black	ou³³	o u ³³				1628		烏			1628
36219	SiniticXingning		black	vu⁴⁵	v u ⁴⁵				1628		烏			1628
37556	NagaUkhrul	black (be v.)	black	kə-tsik	k ə + ts i k				10223	525757				10223
37557	NagaUkhrul	black (be v.)	black	kʰə-mə-haŋ	kʰ ə + m ə + h a ŋ				10222	527926				10222
37766	KirantiHayu	black (adj)	black	khaktshiŋmi	kʰ a k tsʰ i ŋ m i				215	120304				215
38306	Karbi		black	ìk	ì k	from :cite:Konnerth2014<br>:cite:Walker1925 entry: «ik(-kui, -sip, -vu); [...]» (page: 207)			10326			Walker1925, Konnerth2014	ik(-kui, -sip, -vu); [...]	10326
38612	Rabha	black	black	ak	a k				10325			Joseph2007		10325
#
1503	TibetanOldTibetan	cold	cold (of temperature)	graŋ-	g r a ŋ +			冷	933		寒		graŋ-	933
1516	KirantiKhaling	cold	cold (of temperature)	tshʌkpɛ	tsʰ ʌ k p ɛ			冷	325		寒		tshʌkpɛ	325
1517	KirantiLimbu	cold	cold (of temperature)	ci:kt-	c iː k t +			冷	325		寒		ci:kt-	325
1532	rGyalrongJaphug	cold	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ			冷	1002		寒		mɯɕtaʁ	1002
1536	Tangut	cold	cold (of temperature)	dạ²	d ạ/a ²			冷	1002		寒		dạ²	1002
17061	JingphoJingpho	cold (weather, water)	cold (of temperature)	kă³¹ʃuŋ³³	k ă ³¹ + ʃ u ŋ ³³				492	399710		STEDT/TBL	kă³¹ʃuŋ³³	492
17213	BodicTshangla	cold (weather)	cold (of temperature)	per bu	p e r _ b u				587	399698		STEDT/TBL	per bu	587
17871	TibetanXiahe	cold (weather)	cold (of temperature)	tɕaŋ	tɕ a ŋ				933	399695		STEDT/TBL	tɕaŋ	933
18059	rGyalrongMaerkang	cold (weather, water)	cold (of temperature)	kə mə ʃtɑk	k ə _ m ə _ ʃ t ɑ k				1002	399702		STEDT/TBL	kə mə ʃtɑk	1002
18417	TibetanLhasa	cold (weather, water)	cold (of temperature)	tʂhəŋ¹³ŋu⁵⁵	? ə ŋ ¹³ + ŋ u ⁵⁵				933	399693		STEDT/TBL	tʂhəŋ¹³ŋu⁵⁵	933
18418	TibetanLhasa	cold (weather, water)	cold (of temperature)	cha⁵⁵ko⁵⁵	ch a ⁵⁵ + k o ⁵⁵				1102	399742		STEDT/TBL	cha⁵⁵ko⁵⁵	1102
19366	rGyalrongDaofu	cold (weather, water)	cold (of temperature)	ʂkhu ʂkhu	ʂ kʰ u + ʂ kʰ u	!			1384	399703		STEDT/TBL	ʂkhu ʂkhu	1384
20034	TibetanBatang	cold (weather, water)	cold (of temperature)	tʂõ¹³mᴜ⁵³	ʈʂ õ ∼ ¹³ + m ? ⁵³				933	399694		STEDT/TBL	tʂõ¹³mᴜ⁵³	933
21835	QiangicZhaba	cold (water)	cold (of temperature)	vɪ⁵⁵vɪ⁵⁵	v ɪ ⁵⁵ + v ɪ ⁵⁵				2307	399746		STEDT/TBL	vɪ⁵⁵vɪ⁵⁵	2307
21922	DengDarangTaraon	cold (weather, water)	cold (of temperature)	dzoŋ⁵³	dz o ŋ ⁵³				2160	399713		STEDT/TBL	dzoŋ⁵³	2160
22295	NungicDulong	cold (weather, water)	cold (of temperature)	tit⁵⁵	t i t ⁵⁵				2433	399711		STEDT/TBL	tit⁵⁵	2433
22615	TibetanXiahe	cold (water)	cold (of temperature)	tɕhaχ kwa	? a χ _ k w a				1102	399743		STEDT/TBL	tɕhaχ kwa	1102
23750	LoloishLisu	cold (weather, water)	cold (of temperature)	dʑɛ̱³³	dʑ ɛ̠ ³³				2719	399731		STEDT/TBL	dʑɛ̱³³	2719
23844	TaniBokar	cold (weather, water)	cold (of temperature)	ɦɯ tɕir	ɦ ɯ + tɕ i r				3281	399715		STEDT/TBL	ɦɯ tɕir	3281
24018	QiangicZhaba	cold (weather)	cold (of temperature)	ʌ⁵⁵guɛ⁵⁵	ʌ ⁵⁵ + g u ɛ ⁵⁵				2793	399705		STEDT/TBL	ʌ⁵⁵guɛ⁵⁵	2793
24788	TibetanAlike	cold (weather, water)	cold (of temperature)	ncçhak	n ? a k	!			1102	399696		STEDT/TBL	ncçhak	1102
25093	DengYidu	cold (weather, water)	cold (of temperature)	dio⁵⁵ɕi⁵⁵	d i o ⁵⁵ + ɕ i ⁵⁵				2989	399716		STEDT/TBL	dio⁵⁵ɕi⁵⁵	2989
30786	SiniticOldChinese		cold (of temperature)	Craŋ	? + r a ŋ	WT grang-ba		冷	933		涼	SagartMa2016	*C.raŋ	933
31061	BurmishOldBurmese		cold (of temperature)	ʔeḥ	ʔ e ?				3264			Hill2016		3264
31577	KhroskyabsWobzi		cold (of temperature)	rkʰô	r kʰ ô				1384			Lai2016		1384
31830	ChepangChepang	cold (weather, person)	cold (of temperature)	jhyuŋ-	dʒʰ j u ŋ				2160	481791		Caughley2000		2160
32067	KirantiKhaling		cold (of temperature)	dzhūŋ lʉ	dzʰ ū ŋ + + l ʉ				2160					2160
32094	GaroGaro	cold (vi)	cold (of temperature)	chik-jim-a	cʰ i k + j i m + a				325	465731		Burling2003		325
32401	KirantiThulung		cold (of temperature)	tshʌkpa	? ʌ k p a				325					325
32668	ChinHakha	cold (adj.)	cold (of temperature)	a kik	k i k	[full entry: ]			4119			VanBik2014		4119
32976	TibetoKinauriBunan	cold	cold (of temperature)	gartɕam	g a r tɕ a m	Comment (by Widmer2014): «WT cham pa»			182			Widmer2014		182
33102	TibetoKinauriBunan	cold	cold (of temperature)	soj	s o j				279			Widmer2014		279
33172	ChinHakha		cold (of temperature)	sik	s i k + s i ʔ				325					325
33185	TibetoKinauriByangsi	cold	cold (of temperature)	khat	kʰ a t				333	541948		Sharma2003		333
33406	TibetoKinauriRongpo	cold, winter	cold (of temperature)	sod	s o d				279	547394		Sharma2003a		279
33637	KirantiKulung	cold, cool (adj.)	cold (of temperature)	chikchilikpa	tʃʰ i k tʃʰ i l i k p a	Nepali: ciso. (Tolsma1999)			325			Tolsma1999		325
33882	KirantiBantawa	be cold	cold (of temperature)	keŋma (keŋa)	k e ŋ				758			Jongens2009:436		758
34321	BurmishAchang	cold (weather, water)	cold (of temperature)	kʐuat⁵⁵	k ʐ u a t ⁵⁵	bad concept			956			Huang1992		956
34322	BurmishAtsi	cold (weather, water)	cold (of temperature)	kjoʔ²¹	k j o ʔ ²¹	bad concept			956			Huang1992		956
34323	BurmishBola	cold (weather, water)	cold (of temperature)	kjaʔ³¹	k j a ʔ ³¹	bad concept			956			Huang1992		956
34324	BurmishLashi	cold (weather, water)	cold (of temperature)	ŋaːm⁵⁵	ŋ aː m ⁵⁵	bad concept			957			Huang1992		957
34325	BurmishMaru	cold (weather, water)	cold (of temperature)	kjɔʔ³¹	k j ɔ ʔ ³¹	bad concept			956			Huang1992		956
34326	BurmishXiandao	cold (weather, water)	cold (of temperature)	kʐot⁵⁵	k ʐ o t ⁵⁵	bad concept			956			Huang1992		956
34726	BurmishRangoon		cold (of temperature)	ʨʰɑ̃⁵⁵	tɕʰ ɑ̃ ∼ ⁵⁵	bad concept			1083			Huang1992		1083
34736	BurmishRangoon		cold (of temperature)	e⁵⁵	e ⁵⁵	bad concept			3264			Huang1992		3264
35717	KirantiBahing	cold (n)	cold (of temperature)	dzuːmi	d z uː m i				2160	122157				2160
35908	MizoLushai	cold	cold (of temperature)	vâwt	v ? t				1468	239139				1468
35909	MizoLushai	cold	cold (of temperature)	dai	d a i				1469	239140				1469
36220	SiniticBeijing	cold	cold (of temperature)	lɤŋ²¹⁴	l ɤ ŋ ²¹⁴			冷	933		冷	BeijingDaxue1964		933
36222	SiniticGuangzhou	cold	cold (of temperature)	tʊŋ³³	t ʊ ŋ ³³			凍	1629		凍	BeijingDaxue1964		1629
36223	SiniticChaozhou		cold (of temperature)	ŋaŋ⁵⁵	ŋ a ŋ ⁵⁵				1630		凝			1630
36224	SiniticLonggang		cold (of temperature)	laŋ³³	l a ŋ ³³				933		冷			933
36225	SiniticJieyang		cold (of temperature)	ŋaŋ⁵⁵	ŋ a ŋ ⁵⁵				1630		凝			1630
36226	SiniticXingning		cold (of temperature)	laŋ²¹	l a ŋ ²¹				933		冷			933
37558	NagaUkhrul	cold	cold (of temperature)	kʰə-mə-ku	kʰ ə + m ə + k u				2032	526925				2032
37767	KirantiHayu	cold (temperature) (n)	cold (of temperature)	dzũːsa	d z ũː s a				2160	120635				2160
38018	Tangut		cold (of temperature)	dʑjij	dʑ ? j				10187		寒			10187
38333	Karbi		cold (of temperature)	ingsām	i ng s ā m	from :cite:Konnerth2014<br>:cite:Walker1925 entry: «kechung, kangsam; (-- wheather) ningkreng, chungjing[...]» (page: 229)			10337			Walker1925, Konnerth2014	kechung, kangsam; (-- wheather) ningkreng, chungjing[...]	10337
38627	Rabha	cold (weather, water)	cold (of temperature)	sí-xam	s í + x a m				10336			Joseph2007		10336
38691	Rabha		cold (of temperature)	cɨk	c ɨ k				325					325
#
2033	TibetanOldTibetan		dirty	btsog	b ts o g			脏	599					599
2062	rGyalrongJaphug		dirty	ɴqʰi	ɴ qʰ i			脏	1104				ɴqhi	1104
17076	JingphoJingpho	dirty	dirty	mă³¹tsaʔ³¹	m ă ³¹ + ts a ʔ ³¹				502	400868		STEDT/TBL	mă³¹tsaʔ³¹	502
17226	BodicTshangla	dirty	dirty	tsok pa	ts o k _ p a		tib btsog		599	400856		STEDT/TBL	tsok pa	29785
17946	TibetanXiahe	dirty	dirty	hdzo to	? o _ t o	!			599	400853		STEDT/TBL	hdzo to	599
18066	QiangicZhaba	dirty	dirty	ma³³ʂtsᴜ̃⁵⁵ma³³	m a ³³ + ʂ ts ? ∼ ⁵⁵ + m a ³³	!	Tibetan[gtsaŋ]		1005	400863		STEDT/TBL	ma³³ʂtsᴜ̃⁵⁵ma³³	29786
18071	rGyalrongMaerkang	dirty	dirty	mɑk ʃo	m ɑ k _ ʃ o				1009	400860		STEDT/TBL	mɑk ʃo	1009
18436	TibetanLhasa	dirty	dirty	tsok⁵⁵pa⁵⁵	ts o k ⁵⁵ + p a ⁵⁵				599	400851		STEDT/TBL	tsok⁵⁵pa⁵⁵	599
19384	rGyalrongDaofu	dirty	dirty	mi xtsoŋ	m i + x ts o ŋ		Tibetan[mi.gtsaŋ]		1005	400861		STEDT/TBL	mi xtsoŋ	29787
19799	NungicDulong	dirty	dirty	ȵim⁵⁵	ȵ i m ⁵⁵				2024	400869		STEDT/TBL	ȵim⁵⁵	2024
