# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALMS	NOTE	BORROWING	CHINESE	COGID	COGS	HANZI	MORPHEME_STRUCTURE	ALIGNMENT	CONSENSUS
19223	rGyalrongDaofu	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -				327				ŋ a - - -	ŋ a
35711	KirantiBahing	I (pron)	I [first person singular]	gu	g u	( - - ) g u - ( - - - - )				799				- - g u - - - - -	g a
35900	MizoLushai	I	I [first person singular]	ka	k a	( - - ) k a - ( - - - - )				799				- - k a - - - - -	g a
36176	SiniticBeijing	I (first person singular)	I [first person singular]	wɔ²¹⁴	w ɔ ²¹⁴	- w ɔ - ²¹⁴ - - -			我	327	135	我	I-135	- - w ɔ ²¹⁴	ŋ a
19683	NungicDulong	I	I [first person singular]	ŋɑ⁵³	ŋ ɑ ⁵³	ŋ - ɑ - ⁵³ - - -				327				ŋ ɑ - - ⁵³	ŋ a
36180	SiniticJieyang		I [first person singular]	ua³¹	u a ³¹	- u a - ³¹ - - -				327	135	我	I-135	- u - a ³¹	ŋ a
36181	SiniticXingning		I [first person singular]	ŋai²⁴	ŋ a i ²⁴	ŋ - a i ²⁴ - - -				327	135	囗	I-12	ŋ a - i ²⁴	ŋ a
5068	KirantiLimbu	I	I [first person singular]	iŋga	i ŋ g a	( i ŋ ) g a - ( - - - - )			我	799		吾		i ŋ g a - - - - -	g a
36177	SiniticGuangzhou	I (first person singular)	I [first person singular]	ŋɔ²³	ŋ ɔ ²³	ŋ - ɔ - ²³ - - -	should have *-i.LS	< MC	我	10762	135	我	I-135	ŋ ɔ ²³	ŋɔ²³
36178	SiniticChaozhou		I [first person singular]	ua⁵³	u a ⁵³	- u a - ⁵³ - - -				327	135	我	I-135	- u - a ⁵³	ŋ a
36179	SiniticLonggang		I [first person singular]	ŋai²¹	ŋ a i ²¹	ŋ - a i ²¹ - - -				327	135	囗	I-12	ŋ a - i ²¹	ŋ a
37553	NagaUkhrul	1sg, I, me	I [first person singular]	ʔi	ʔ i	ʔ i				2029				ʔ i	ʔi
19921	TibetanBatang	I	I [first person singular]	ŋa²³¹	ŋ a ²³¹	ŋ - a - ²³¹ - - -				327				ŋ a - - ²³¹	ŋ a
37758	KirantiHayu	my, me (pron po)	I [first person singular]	aŋ	a ŋ	- a ŋ -				611				- a ŋ	ʔ ɔ ŋ
37759	KirantiHayu	I, me, we, us (pron (1)	I [first person singular]	gu	g u	( - - ) g u - ( - - - - )				799				- - g u - - - - -	g a
5054	TibetanOldTibetan	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -			我	327		吾		ŋ a - - -	ŋ a
5067	KirantiKhaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ	ʔ u ŋ -			我	611		吾		ʔ u ŋ	ʔ ɔ ŋ
5083	rGyalrongJaphug	I	I [first person singular]	aʑo	a ʑ o	- - a - - ʑ o -			我	327		吾		- a ʑ o -	ŋ a
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²				我	327		吾		ŋ a - - ²	ŋ a
38041	Tangut		I [first person singular]	mjo	m jo					105		我		m jo	mjo
21719	QiangicZhaba	I	I [first person singular]	ŋa¹³	ŋ a ¹³	ŋ - a - ¹³ - - -				327				ŋ a - - ¹³	ŋ a
38357	Karbi		I [first person singular]	ne	n e		from :cite:Walker1925<br>page in :cite:Walker1925 307			10389				n e	ne
38596	Rabha	I	I [first person singular]	aŋ	a ŋ					10388				a ŋ - -	a ŋ 
22525	TibetanXiahe	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -				327				ŋ a - - -	ŋ a
23977	DengDarangTaraon	I	I [first person singular]	xɑŋ³⁵	x ɑ ŋ ³⁵	x ɑ ŋ ³⁵				10387				x ɑ ŋ ³⁵	xɑŋ³⁵
31913	ChepangChepang	I	I [first person singular]	ʔa	ʔ a	ʔ a				3835				ʔ a	ʔa
24331	LoloishLisu	I	I [first person singular]	ŋuɑ³³	ŋ u ɑ ³³	ŋ u ɑ - ³³ - - -				327				ŋ u - ɑ ³³	ŋ a
24581	TibetanLhasa	I	I [first person singular]	ŋa¹³	ŋ a ¹³	ŋ - a - ¹³ - - -				327				ŋ a - - ¹³	ŋ a
24693	TibetanAlike	I	I [first person singular]	ŋæ	ŋ æ	ŋ - æ - - - - -				327				ŋ æ - - -	ŋ a
32746	ChinHakha	I (pron.)	I [first person singular]	keimah	k à y + m a ʔ	( - - ) k à y ( + m a ʔ )				799				- - k à y + m a ʔ	g a
31651	KhroskyabsWobzi		I [first person singular]	ŋô	ŋ ô	ŋ - ô - - - - -				327				ŋ ô - - -	ŋ a
31914	ChepangChepang	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -				327				ŋ a - - -	ŋ a
23725	TaniBokar	I	I [first person singular]	ŋoː	ŋ oː	ŋ - oː - - - - -				327				ŋ oː - - -	ŋ a
32394	KirantiThulung		I [first person singular]	go	g o	( - - ) g o - ( - - - - )				799				- - g o - - - - -	g a
30885	SiniticOldChinese		I [first person singular]	ŋˤa	ŋˤ a	ŋˤ - a - - - - -			我	327		吾	I-1323	ŋˤ a - - -	ŋ a
31082	BurmishOldBurmese		I [first person singular]	ṅā	ṅ ā	ṅ - ā - - - - -				327				- - ṅ ā -	ŋ a
32168	GaroGaro	I (pro)	I [first person singular]	aŋ-a	a ŋ  a	a ŋ   a				10388				a ŋ  a	a ŋ 
#
33130	TibetoKinauriBunan	big, honest	big	tedzi	t e dz i	- - - - t - e - ( - - dz i - )	Comment (by :cite:Widmer2014): «PTB *tay / Rongpo te 'viel, sehr viel' (Zoller 1983) /»			300				- - - - - - - - t e dz i -	t e
33183	TibetoKinauriByangsi	big	big	poda	p o d a	p o d a				331				p o d a	poda
549	TibetanOldTibetan	big	big	tɕʰe-	tɕʰ e	- - - - tɕʰ e - - ( - - - - - )			大	412		大		tɕʰ e - - - - - - - -	tɕʰ e
562	KirantiKhaling	big	big	ghoɔ̄lpɛ	gʰ oɔ̄ l p ɛ	gʰ oɔ̄ l p ɛ			大	416		大		gʰ oɔ̄ l p ɛ	ghoɔ̄lpɛ
563	KirantiLimbu	big	big	yɔmba	j ɔ m b a	j ɔ m b a			大	417		大		j ɔ m b a	yɔmba
38328	Karbi		big	thè	th è		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «the(dung)» (page: 206)			412				th è - - - - - - - -	tɕʰ e
33403	TibetoKinauriRongpo	big	big	bəRa	b ə ɽ a	b ə ɽ a		IA बढा		10752				b ə ɽ a	bəRa
33404	TibetoKinauriRongpo	big	big	tuŋtə	t u ŋ t ə	t u ŋ t ə				465				t u ŋ t ə	tuŋtə
17148	BodicTshangla	big / large	big	tɕhi lo	tɕh i _ l o	- - - - tɕh i - - ( _ - - l o )		tib[tɕʰe]		10643				tɕh i _ l o	tɕhi lo
33635	KirantiKulung	big, fat (adj.)	big	depa	d e p a	- - - - d - e - ( p a - - - )	Nepali: ṭhūlo, moṭo. (Tolsma1999)			300				- - - - - - - - d e p a -	t e
33867	KirantiBantawa	big	big	ɨdʰiwaŋ	ɨ dʱ i w a ŋ	ɨ dʱ i w a ŋ				747				ɨ dʱ i w a ŋ	ɨdʰiwaŋ
34193	BurmishAchang	big	big	kʐə³¹	k ʐ ə ³¹	k ʐ ə - ³¹				909	86		big	k ʐ ə - ³¹	k ə ³¹
34196	BurmishBola	big	big	kɔ̱³⁵	k ɔ̰ ³⁵	k - ɔ̰ - ³⁵				909	86		big	k - ɔ̰ - ³⁵	k ə ³¹
34197	BurmishLashi	big	big	kjiː³³	k j iː ³³	k j iː - ³³				909	86		big	k j iː - ³³	k ə ³¹
34198	BurmishMaru	big	big	ɣə³⁵	ɣ ə ³⁵	ɣ - ə - ³⁵				909	86		big	ɣ - ə - ³⁵	k ə ³¹
34199	BurmishXiandao	big	big	kɯ³¹	k ɯ ³¹	k - ɯ - ³¹				909	86		big	k - ɯ - ³¹	k ə ³¹
18334	TibetanLhasa	big / large	big	tɕhẽ⁵⁵po⁵⁵	tɕʰ ẽ ∼ ⁵⁵ ◦ p o ⁵⁵	- - - - tɕʰ ẽ ∼ ⁵⁵ ( ◦ p o ⁵⁵ - )				412				tɕʰ ẽ ∼ ⁵⁵ - - ◦ p o ⁵⁵	tɕʰ e
35587	BurmishRangoon		big	ʨi⁵⁵	tɕ i ⁵⁵	tɕ - i - ⁵⁵				909	86		big	tɕ - i - ⁵⁵	k ə ³¹
19258	rGyalrongDaofu	big / large	big	gɛ cçhɛ	g ɛ + cçʰ ɛ	g ɛ + cçʰ ɛ				1349				g ɛ + cçʰ ɛ	gɛ cçhɛ
35715	KirantiBahing	big (adj)	big	a-ŋolo	a + ŋ o l o	a + ŋ o l o				861				a + ŋ o l o	a-ŋolo
35904	MizoLushai	big	big	lian	l i a n	l i a n				1465				l i a n	l i a n
35905	MizoLushai	big	big	hrawl	r̥ ɔ l	r̥ ɔ l				1244				r̥ ɔ l	hrawl
19713	NungicDulong	big / large	big	tɑi⁵³	t ɑ i ⁵³	- - - - t ɑ i ⁵³ ( - - - - - )				300				- - - - - - - - t ɑ - i ⁵³	t e
36208	SiniticBeijing	big	big	ta⁵¹	t a ⁵¹	t - a - ⁵¹ ( - - - )			大	1627	18	大	big-18	- - - - t a ⁵¹	lˤ a + s
36209	SiniticGuangzhou	big	big	tai²²	t a i ²²	t a i - ²² ( - - - )	expect l-	< post-Han	大	10770	18	大	big-18	t a i ²²	tai²²
36210	SiniticChaozhou		big	tua¹¹	t u a ¹¹	t u a - ¹¹ ( - - - )	expect l-	< post-Han		10729	18	大	big-18	t u a ¹¹	tua¹¹
36212	SiniticJieyang		big	tua¹¹	t u a ¹¹	t u a - ¹¹ ( - - - )	expect l-	< post-Han		10730	18	大	big-18	t u a ¹¹	tua¹¹
36213	SiniticXingning		big	tʰai⁵⁵ku²¹	tʰ a i ⁵⁵ k u ²¹	tʰ a i - ⁵⁵ ( k u ²¹ )	expect l-	< post-Han		10832	18 73	大牯	big-18 _big-73	tʰ a i ⁵⁵ k u ²¹	tʰai⁵⁵ku²¹
578	rGyalrongJaphug	big	big	wxti	w x t i	- - w x t - i - ( - - - - - )			大	300		大		- - - - - - w x t i - - -	t e
19952	TibetanBatang	big / large	big	tɕhɪ⁵³	tɕʰ ɪ ⁵³	- - - - tɕʰ ɪ - ⁵³ ( - - - - - )				412				tɕʰ ɪ - ⁵³ - - - - - -	tɕʰ e
19953	TibetanBatang	big / large	big	tɕhɑu¹³	tɕʰ ɑ u ¹³	- - - - tɕʰ ɑ - - ( - u ¹³ - - )				412				tɕʰ ɑ u ¹³ - - - - - -	tɕʰ e
36211	SiniticLonggang		big	tʰai⁵⁴	tʰ a i ⁵⁴	tʰ a i - ⁵⁴ ( - - - )	expect l-	< post-Han		10771	18	大	big-18	tʰ a i ⁵⁴	tʰai⁵⁴
37764	KirantiHayu	be big, become big; win (vi, vr)	big	xʊn	x ʊ n	x ʊ n				2158				x ʊ n	xʊn
37765	KirantiHayu	big, huge (adj)	big	ʊlawo	ʊ l a w o	ʊ l a w o				2159				ʊ l a w o	ʊlawo
38013	Tangut		big	khwej	kh w e j					10181		大		kh w e j	khwej
21751	QiangicZhaba	big / large	big	tɕi⁵⁵tɕi⁵⁵	tɕ i ⁵⁵ ◦ tɕ i ⁵⁵	- - - - tɕ - i ⁵⁵ ( - ◦ tɕ i ⁵⁵ )				300				tɕ i ⁵⁵ - - ◦ - tɕ - i - - ⁵⁵	t e
21852	DengDarangTaraon	big / large	big	dɯ³¹ɹɯŋ⁵⁵	d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵	d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵				2310				d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵	dɯ³¹ɹɯŋ⁵⁵
38599	Rabha	big / large	big	tem-poŋ	t e m + p o ŋ					10322				t e m + p o ŋ	tem-poŋ
31059	BurmishOldBurmese		big	krīḥ	k r ī ḥ	k r ī ḥ -				909				k r ī ḥ -	k ə ³¹
23763	TaniBokar	big / large	big	təː pə	t əː + p ə	t əː + p ə				2723				t əː + p ə	təː pə
23860	TibetanXiahe	big / large	big	tɕhe wo	tɕh e _ w o	- - - - tɕh e - - ( _ w o - - )				412				- - - - tɕh e _ w o -	tɕʰ e
24718	TibetanAlike	big / large	big	tɕhe	tɕh e	- - - - tɕh e - - ( - - - - - )				412				tɕh e - - - - - - - -	tɕʰ e
34195	BurmishAtsi	big	big	ko̱²¹	k o̰ ²¹	k - o̰ - ²¹				909	86		big	k - o̰ - ²¹	k ə ³¹
25035	DengYidu	big / large	big	kɑ⁵⁵tɕhi⁵⁵	k ɑ ⁵⁵ ◦ tɕh i ⁵⁵	k ɑ ⁵⁵ ◦ tɕh i - ⁵⁵ ( - - - - - )		tib[tɕʰe]		10860				k ɑ ⁵⁵ ◦ tɕh i ⁵⁵	kɑ⁵⁵tɕhi⁵⁵
25122	JingphoJingpho	big / large	big	kă³¹pa³¹	k ă ³¹ ◦ p a ³¹	k ă ³¹ ◦ p a ³¹				2998				k ă ³¹ ◦ p a ³¹	kă³¹pa³¹
17996	rGyalrongMaerkang	big / large	big	kə ktᴇ	k ə _ k t ᴇ	k ə _ k t - ᴇ - ( - - - - - )				300				- - - k ə _ - k t ᴇ - - -	t e
23669	LoloishLisu	big / large	big	vu³¹	v u ³¹	v u ³¹				3207				v u ³¹	vu³¹
37555	NagaUkhrul	big	big	kə-haka	k ə + h a k a	k ə + h a k a				3314				k ə + h a k a	kə-haka
30768	SiniticOldChinese		big	lˤat←s	lˤ a t + s	lˤ a t + s ( - - - )			大	1627		大	big-18 _s-suffix	lˤ a t + s - -	lˤ a + s
31562	KhroskyabsWobzi		big	qʰrɑ́	qʰ r ɑ́	qʰ r ɑ́				3734				qʰ r ɑ́	qʰrɑ́
31816	ChepangChepang	big (esp. in height, length), large	big	braw-	b r a w	b r a w				3795				b r a w	braw-
32079	GaroGaro	big; large (vi)	big	dal•-a	d a l ʔ + a	d a l ʔ + a				3918				d a l ʔ + a	dal•-a
32399	KirantiThulung		big	ɖokpu	ɖ o k p u	ɖ o k p u				4052				ɖ o k p u	ɖokpu
32652	ChinHakha	big (adj.)	big	lian , ngan	l i ǎ n	l i ǎ n				1465				l i ǎ n	l i a n
#
33015	TibetoKinauriBunan	black	black	kʰaj	kʰ a j	kʰ a j - - - - - - - - - - - - - - - - -	Comment (by Widmer2014): «ZZ kha-rlon»			215				kʰ a j - - - - - - - - -	k e k m
33184	TibetoKinauriByangsi	black	black	wamdɛ	w a m d ɛ	w a m d ɛ				332				w a m d ɛ	wamdɛ
17010	JingphoJingpho	black	black	tʃa̱ŋ³³	tʃ a̱ ŋ ³³	tʃ a̱ ŋ ³³				459				tʃ a̱ ŋ ³³ - -	tʃ a̱ ŋ ³³ l u
33405	TibetoKinauriRongpo	black	black	tiŋdə	t i ŋ d ə	t i ŋ d ə				466				t i ŋ d ə	tiŋdə
708	TibetanOldTibetan	black	black	nag-	n a g ◦	( - - - ) - - - - - - - ( - - - - ) n a g ◦ ( - - - - - - - - - - - - - - - - )			黑	511		黑		- - - n a g ◦ - - - - -	n a
721	KirantiKhaling	black	black	kekêm	k e k ê m	k e - k ê m - - - - - - - - - - - - - -			黑	215		黑		k e k - ê - m - - - - -	k e k m
722	KirantiLimbu	black	black	mak	m a k	m a k -			黑	519		黑		m a k - -	m ɑ k ⁵⁵
737	rGyalrongJaphug	black	black	ɲaʁ	ɲ a ʁ	( - - - ) - - - - - - - ( - - - - ) ɲ a ʁ - ( - - - - - - - - - - - - - - - - )			黑	511		黑		- - - - - - - ɲ - a ʁ -	n a
741	Tangut	black	black	njaa¹	n j aa ¹				黑	511		黑		- - - - - - - n j aa - ¹	n a
17178	BodicTshangla	black	black	tɕhaŋ lu	tɕh a ŋ _ l u	tɕh a ŋ _ l u				459				tɕh a ŋ _ l u	tʃ a̱ ŋ ³³ l u
33636	KirantiKulung	black (adj.)	black	gugurpa	g u g u r p a	g u g u r p a	Nepali: kālo. (Tolsma1999)			614				g u g u r p a	gugurpa
33870	KirantiBantawa	black	black	makɨwa	m a k ɨ w a	m a k ɨ w a -				749				m a k ɨ w a	makɨwa
34215	BurmishAchang	black	black	lɔk⁵⁵	l ɔ k ⁵⁵	( - - - ) - - - - - - - ( - - - - ) l ɔ k ⁵⁵ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - l - ɔ k ⁵⁵	n a
34216	BurmishAtsi	black	black	noʔ²¹	n o ʔ ²¹	( - - - ) - - - - - - - ( - - - - ) n o ʔ ²¹ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - n - o ʔ ²¹	n a
34217	BurmishBola	black	black	naʔ³¹	n a ʔ ³¹	( - - - ) - - - - - - - ( - - - - ) n a ʔ ³¹ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - n - a ʔ ³¹	n a
34219	BurmishLashi	black	black	nɔːʔ³¹	n ɔː ʔ ³¹	( - - - ) - - - - - - - ( - - - - ) n ɔː ʔ ³¹ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - n - ɔː ʔ ³¹	n a
34220	BurmishMaru	black	black	nɔʔ³¹	n ɔ ʔ ³¹	( - - - ) - - - - - - - ( - - - - ) n ɔ ʔ ³¹ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - n - ɔ ʔ ³¹	n a
34221	BurmishXiandao	black	black	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n ɔ ʔ ⁵⁵ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - n - ɔ ʔ ⁵⁵	n a
18021	rGyalrongMaerkang	black	black	kə nɐk	k ə _ n ɐ k	( k ə _ ) - - - - - - - ( - - - - ) n ɐ k - ( - - - - - - - - - - - - - - - - )	Tib nag	IA		10683				k ə _ n ɐ k	kə nɐk
34657	BurmishRangoon		black	nɛʔ⁴	n ɛ ʔ ⁴	( - - - ) - - - - - - - ( - - - - ) n ɛ ʔ ⁴ ( - - - - - - - - - - - - - - - - )				511	92		black	- - - - - - - n - ɛ ʔ ⁴	n a
18363	TibetanLhasa	black	black	na¹³ko⁵⁵	n a ¹³ ◦ k o ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n a - ¹³ ( - - - - ◦ k o - ⁵⁵ - - - - - - - )				511				n a ¹³ - - - ◦ k - o - ⁵⁵	n a
35907	MizoLushai	black	black	hâng	h â ŋ	- - - - - - - - - - - - - - - - - h â ŋ				10222				- - - - - - h â ŋ	kʰ ə + m ə + h â ŋ
19065	DengDarangTaraon	black	black	mɑŋ⁵³	m ɑ ŋ ⁵³	m ɑ ŋ ⁵³	=Ch, Limbu ?			519				m ɑ ŋ - ⁵³	m ɑ k ⁵⁵
19301	rGyalrongDaofu	black	black	ga ȵa	g a + ȵ a	( g a + ) - - - - - - - ( - - - - ) ȵ a - - ( - - - - - - - - - - - - - - - - )				511				- - - g a - + ȵ - a - -	n a
19739	NungicDulong	black	black	nɑʔ⁵⁵	n ɑ ʔ ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n ɑ ʔ ⁵⁵ ( - - - - - - - - - - - - - - - - )				511				- - - - - - - n - ɑ ʔ ⁵⁵	n a
36214	SiniticBeijing	black	black	xei⁵⁵	x e i ⁵⁵	x e i ⁵⁵			黑	519	20	黑	black-20	x e - i ⁵⁵	m ɑ k ⁵⁵
36215	SiniticGuangzhou	black	black	hɐk⁵	h ɐ k ⁵	h ɐ k ⁵			黑	519	20	黑	black-20	h ɐ k - ⁵	m ɑ k ⁵⁵
36216	SiniticChaozhou		black	ou³³	o u ³³	- o u ³³				1628	504	烏	black-504	o - u ³³	o v u ³³
36217	SiniticLonggang		black	vu³³	v u ³³	v u ³³ -				1628	504	烏	black-504	- v u ³³	o v u ³³
36218	SiniticJieyang		black	ou³³	o u ³³	- o u ³³				1628	504	烏	black-504	o - u ³³	o v u ³³
36219	SiniticXingning		black	vu⁴⁵	v u ⁴⁵	v u ⁴⁵ -				1628	504	烏	black-504	- v u ⁴⁵	o v u ³³
20160	TibetanBatang	black	black	nɑ¹³nɑʔ⁵³	n ɑ ¹³ ◦ n ɑ ʔ ⁵³	( - - - ) - - - - - - - ( n ɑ ¹³ ◦ ) n ɑ ʔ ⁵³ ( - - - - - - - - - - - - - - - - )				511				n ɑ ¹³ - - - ◦ n - ɑ ʔ ⁵³	n a
37556	NagaUkhrul	black (be v.)	black	kə-tsik	k ə + ts i k	k ə - + - - - - - ts i k - - - - - - - -				10223				k ə + ts i k	kə-tsik
37766	KirantiHayu	black (adj)	black	khaktshiŋmi	kʰ a k tsʰ i ŋ m i	kʰ a - k - - - - - tsʰ i ŋ m i - - - - - -				215				kʰ a k tsʰ i ŋ m i - - - -	k e k m
38612	Rabha	black	black	ak	a k					10325				a k	ak
38306	Karbi		black	ìk	ì k		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «ik(-kui, -sip, -vu); [...]» (page: 207)			10326				ì k	ìk
22400	QiangicZhaba	black	black	na⁵⁵na⁵⁵	n a ⁵⁵ ◦ n a ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n a - ⁵⁵ ( ◦ n a ⁵⁵ - - - - - - - - - - - - )				511				n a ⁵⁵ - - - ◦ n - a - ⁵⁵	n a
19300	rGyalrongDaofu	black	black	ȵa ȵa	ȵ a + ȵ a	( - - - ) - - - - - - - ( - - - - ) ȵ a - + ( - ȵ a - - - - - - - - - - - - - )				511				- - - ȵ a - + ȵ - a - -	n a
22578	TibetanXiahe	black	black	naχ kwo	n a χ _ k w o	( - - - ) - - - - - - - ( - - - - ) n a χ _ ( - - - - - k w o - - - - - - - - )				511				- - - n a χ _ k w o - -	n a
23702	LoloishLisu	black	black	nɛ̱³³	n ɛ̱ ³³	( - - - ) - - - - - - - ( - - - - ) n ɛ̱ - ³³ ( - - - - - - - - - - - - - - - - )				511				- - - - - - - n - ɛ̱ - ³³	n a
23795	TaniBokar	black	black	kaː jaŋ	k aː + j a ŋ	k aː - + - - j a ŋ - - - - - - - - - - -				215				k aː - - - - - - + j a ŋ	k e k m
35716	KirantiBahing	black (adj)	black	kɛkɛ	k ɛ k ɛ	k ɛ - k ɛ - - - - - - - - - - - - - - -				215				k ɛ k - ɛ - - - - - - -	k e k m
24749	TibetanAlike	black	black	nok ko	n o k _ k o	( - - - ) - - - - - - - ( - - - - ) n o k - ( - - - - _ k o - - - - - - - - - )				511				- - - n o k _ k - o - -	n a
25057	DengYidu	black	black	mɑ⁵⁵	m ɑ ⁵⁵	m ɑ - ⁵⁵				519				m ɑ - - ⁵⁵	m ɑ k ⁵⁵
31820	ChepangChepang	black, dark	black	gal-	g a l	g a l				3797				g a l	gal-
37557	NagaUkhrul	black (be v.)	black	kʰə-mə-haŋ	kʰ ə + m ə + h a ŋ	kʰ ə - + - - - - - - - - - - m ə + h a ŋ				10222				kʰ ə + m ə + h a ŋ	kʰ ə + m ə + h â ŋ
32082	GaroGaro	black (vi)	black	gi-sim	g i s i m	g i s i m				3919				g i s i m	gi-sim
35906	MizoLushai	black	black	dum	d u m	d u m				3433				d u m	dum
30771	SiniticOldChinese		black	tsrə	ts r ə	ts r ə			黑	3618		緇		ts r ə	tsrə
30772	SiniticOldChinese		black	m̥ˤək	m̥ˤ ə k	m̥ˤ ə k -			黑	519		黑	black-20	m̥ˤ ə k - -	m ɑ k ⁵⁵
31060	BurmishOldBurmese		black	nak	n a k	( - - - ) - - - - - - - ( - - - - ) n a k - ( - - - - - - - - - - - - - - - - )				511				- - - - - - - n - a k -	n a
31565	KhroskyabsWobzi		black	ɲá	ɲ á	( - - - ) - - - - - - - ( - - - - ) ɲ á - - ( - - - - - - - - - - - - - - - - )				511				- - - - - - - ɲ - á - -	n a
31819	ChepangChepang	very dark, black	black	tik.tak	t i k + t a k	t i k + t a k				3796				t i k + t a k	tik.tak
32655	ChinHakha	black (adj.)	black	nak , a nak	n a k	( - - - ) - - - - - - - ( - - - - ) n a k - ( - - - - - - - - - - - - - - - - )	[full entry: ]			511				- - - - - - - n - a k -	n a
32400	KirantiThulung		black	kekem	k e k e m	k e - k e m - - - - - - - - - - - - - -				215				k e k - e - m - - - - -	k e k m
#
32976	TibetoKinauriBunan	cold	cold (of temperature)	gartɕam	g a r tɕ a m	g a r tɕ a m	Comment (by Widmer2014): «WT cham pa»			182				g a r tɕ a m	gartɕam
33102	TibetoKinauriBunan	cold	cold (of temperature)	soj	s o j	s o j				279				s o j	s o j
33172	ChinHakha		cold (of temperature)	sik	s i k + s i ʔ	s i k - + ( - - - - - - - - - - - ) - ( s i ʔ )				325				s i - - - - - k - - + s i ʔ - -	c i k p
33185	TibetoKinauriByangsi	cold	cold (of temperature)	khat	kʰ a t	kʰ a t				333				kʰ a t	khat
