# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	BORROWING	NOTE	CHINESE	COGID	HANZI	RGEN	SOURCE	ENTRY_IN_SOURCE
21766	rGyalrong_Maerkang	over / above	above	wu prɐi	w u _ p r ɐ i				2290				
22401	Tibetan_Xiahe	over / above	above	jan tɕhar	j a n _ tɕʰ a r				198				
23503	Lisu	over / above	above	gɑ̱³¹si̱³³	g ɑ̠ ³¹ + s i̠ ³³				2668				
23962	Bokar	over / above	above	jan dap	j a n + d a p	tib[jan]			198				
30319	Khaling		above	tūŋ	t u ŋ				3493				
30320	Limbu		above	ɛtthaŋ	ɛ t tʰ a ŋ				20				
30756	Old_Chinese		above	daŋʔ←s	d a ŋ ʔ + s			上面	20				
31055	Old_Burmese		above	ʔa◦thak	ʔ a + tʰ a k				49				
31552	Wobzi_Khroskyabs		above	tʰɑ	tʰ ɑ				49				
31804	Chepang	upper part, above, overhead	above	puh.ʔə	p u h + ʔ ə				3791				
32071	Garo	above; beyond; on top (pp)	above	sak-a-o	s a k a o				3915				
32395	Thulung		above	ɖʌ:la	ɖ ʌː l a				4050				
32629	Thulung		above	gele	g e l e				4111				
32641	Hakha_Chin	above (prep.)	above	cunglei;	ts ù/u ŋ		[full entry: e.g. We flew above the cloud = Khuadawm cungin kan zuang.]		744				
32996	Bunan	on, above	above	jartok	j a r t o k	tib jar.tʰog	Comment (by Widmer2014): «WT yar thog»		198				
33179	Byangsi	above	above	yarto	j a r t o	tib jar.tʰog			198				
33397	Rongpo	above, over	above	kalco	k a l tʃ o				461				
33631	Kulung	above, up (adv.)	above	tɔ:ptɔ	t ɔː p t ɔ		Nepali: māthi. (Tolsma1999)		612				
33857	Bantawa	not physical right on top of things, but ‘at a higher elevation’	above	cʰoN	tsʰ o ŋ				744				
35051	Atsi	over / above	above	tʰoʔ⁵⁵mai²¹	tʰ o ʔ ⁵⁵ + m a i ²¹				49				
35125	Rangoon	over / above	above	ɑ⁵³tʰɛʔ	ɑ ⁵³ + tʰ ɛ ʔ				49				
35153	Bola	over / above	above	a³¹tʰaʔ⁵⁵	a ³¹ + tʰ a ʔ ⁵⁵				49				
35214	Achang_Longchuan	over / above	above	a³¹lum³¹	a ³¹ + l u m ³¹				3049				
35266	Maru	over / above	above	tʰɔʔ⁵⁵mɛ³¹	tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹				49				
35712	Bahing	above, up (adv)	above	hati, haty	h a t i				2769				
36183	Guangzhou	*top, top side	above	sœŋ²²pin²²	s œ ŋ ²² p i n ²²			上便	20				
36184	Chaozhou		above	teŋ⁵³₃₅põĩ⁵⁵	t e ŋ ³⁵/⁵³ p õ ĩ ∼ ⁵⁵		tone is yinshang		1618				
36185	Longgang		above	taŋ³³kau³³	t a ŋ ³³ k a u ³³	< Jieyang	tone is yinping		1618				
36186	Jieyang		above	teŋ³¹₃₅pãĩ⁵⁵	t e ŋ ³⁵/³¹ p ã ĩ ∼ ⁵⁵		tone is yinshang		1618				
36187	Xingning		above	ʂɔŋ⁵⁵pɔɛ⁵³	ʂ ɔ ŋ ⁵⁵ p ɔ ɛ ⁵³		suffix is < Jieyang Min. ʂɔŋ⁵⁵ is regular for 上.		20				
36188	Xingning		above	hɔŋ⁵³	h ɔ ŋ ⁵³				1619				
37554	Ukhrul	over ?	above	kə-kan	k ə + k a n				3313				
37760	Hayu	up, above (adv loc)	above	ani	a n i				2156				
37761	Hayu	above (pp)	above	ani	a n i				2156				
38141	Tangut		above	tɕhjaa	tɕʰ j aa/aː				10178				
38469	Mikir		above	angsong	a ng s o ng		from :cite:Walker1925<br>page in :cite:Walker1925 180		29836				
#
72	Old_Tibetan	all	all	tʰams.tɕad	tʰ a m s + tɕ a d			全部	3682				
85	Khaling	all	all	kʰøle	kʰ ø l e			全部	1273				
86	Limbu	all	all	kak	k a k			全部	1320				
101	Japhug	all	all	tʰamtɕɤt	tʰ a m tɕ ɤ t	tib[tʰams.tɕad]		全部	3682				
105	Tangut	all	all	zji¹	z j i ¹			全部	29775				
16978	Jingpho	all / everything	all	ŋa³¹mă⁵⁵ŋa⁵¹	ŋ a ³¹ + m ă ⁵⁵ + ŋ a ⁵¹				1274				
17146	Motuo_Menba	all / everything	all	tham tɕeʔ	tʰ a m _ tɕ e ʔ	tib[tʰams.tɕad]			3682				
17455	Tibetan_Xiahe	all / everything	all	ha no	h a _ n o				5662				
17994	rGyalrong_Maerkang	all / everything	all	kə tʃᴇt	k ə _ tʃ ᴇ/ɛ̝ t				3969				
18332	Tibetan_Lhasa	all / everything	all	tshaŋ⁵⁵ma⁵⁵	tsʰ a ŋ ⁵⁵ + m a ⁵⁵				5663				
19256	Daofu	all / everything	all	thəm tɕɛ	tʰ ə m _ tɕ ɛ	tib[tʰams.tɕad]			3682				
19712	Dulong	all / everything	all	sɯ³¹nɑʔ⁵⁵	s ɯ ³¹ + n ɑ ʔ ⁵⁵				1276				
19950	Tibetan_Batang	all / everything	all	jø¹³tshɛʔ⁵³	j ø ¹³ + tsʰ ɛ ʔ ⁵³				5664				
21326	Tibetan_Lhasa	all / everything	all	kaŋ¹³ka⁵⁵	k a ŋ ¹³ + k a ⁵⁵				5665				
21749	Zhaba_Daofu_County	all / everything	all	jo³³dzo⁵⁵	j o ³³ + dz o ⁵⁵				4514				
23668	Lisu	all / everything	all	hɑ̃³³ŋɑ̱³³ mɑ̱³³	h ɑ̃ ∼ ³³ + ŋ ɑ̠ ³³ _ m ɑ̠ ³³				3683				
23761	Bokar	all / everything	all	kə baŋ	k ə _ b a ŋ				1321				
24717	Tibetan_Alike	all / everything	all	tshaŋ mæ	tsʰ a ŋ _ m æ				5663				
25848	Japhug	all	all	lonba	l o n mb a	tib[lon.pa]			1275				
30757	Old_Chinese		all	brom	b r o m			都	1186				
30758	Old_Chinese		all	gˤrəm	gˤ r ə m			都	3684				
31056	Old_Burmese		all	ʔa◦kun	ʔ a + k u n				3899				
31553	Wobzi_Khroskyabs		all	pâ	p â				5037				
31805	Chepang	all, completely (<H jəmma all + -ʔəy emphatic)	all	jəm.bay	dʒ ə m + b a y				5140				
31806	Chepang	all, completely	all	ju-	dʒ u				5141				
32072	Garo	all (n)	all	be-bak	b e b a k				5308				
32396	Thulung		all	khotle	kʰ o t l e				1273				
32642	Hakha_Chin	all (adj.)	all	a dihlak	z ǎa/a t êe/e				5779				
33145	Bunan	all	all	tsʰaŋi	tsʰ a ŋ i	tib[tsʰaŋ]	Comment (by Widmer2014): «WT tshang / ZZ tha-ts(h)an»		5663				
33180	Byangsi	all	all	lairi	l a i r i				6208				
33398	Rongpo	all	all	ruoko, ruəko	r u o k o				6209				
33399	Rongpo	all	all	səb	s ə b	IA			6207				
33632	Kulung	all (adv.)	all	tɔ:tɔ	t ɔː t ɔ		Nepali: jammai. (Tolsma1999)		6288				
33633	Kulung	all, every (adv.)	all	khɔ:lɔ	kʰ ɔː l ɔ		Nepali: sab. (Tolsma1999)		1273				
33858	Bantawa	all, every	all	jamm@y	dz a m m ə j	IA			6522				
34097	Achang_Longchuan	all 1	all	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵		bad concept		8001				
34099	Lashi	all 1	all	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵		bad concept		8003				
34100	Maru	all 1	all	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵		bad concept		8003				
34101	Xiandao	all 4	all	chot⁵⁵	cʰ o t ⁵⁵		bad concept		8004				
34102	Atsi	all 2	all	lu̱ŋ⁵⁵la̱ŋ⁵⁵	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵		bad concept		8005				
34103	Bola	all 2	all	a³¹la̱p⁵⁵	a ³¹ + l a̰ p ⁵⁵		bad concept		8006				
34741	Rangoon		all	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³		bad concept		8340				
35707	Old_Tibetan		all	kun	k u n				3899				
38176	Tangut		all	zji	z j i				29800				
38196	Tangut		all	rjur	r j u r				29811				
38507	Mikir		all	thài	tʰ ài/ai		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]» (page: 187)		29871				
#
284	Old_Tibetan		bad	ŋan-	ŋ a n			坏	245				
313	Japhug		bad	ŋɤn	ŋ ɤ n	tib[ŋan]		坏	245				
17052	Jingpho	bad	bad	then³¹	tʰ e n ³¹				486				
17204	Motuo_Menba	bad	bad	duk pin	d u k _ p i n	tib[sdug]			579				
17241	Yidu	bad	bad	e⁵⁵lieŋ⁵⁵	e ⁵⁵ + l i e ŋ ⁵⁵				606				
18052	rGyalrong_Maerkang	bad	bad	mɑ kə snɑ	m ɑ _ k ə _ s n ɑ				999				
18407	Tibetan_Lhasa	bad	bad	ŋɛ̃¹³po⁵⁵	ŋ ɛ̃ ∼ ¹³ + p o ⁵⁵				245				
18408	Tibetan_Lhasa	bad	bad	tu¹³ko⁵⁵	t u ¹³ + k o ⁵⁵				579				
18948	Daofu	bad	bad	qhə mɛ	qʰ ə + m ɛ				1271				
19360	Daofu	bad	bad	gɛ qhə mɛ	g ɛ + qʰ ə + m ɛ				1271				
19776	Dulong	bad	bad	mɑʔ⁵⁵	m ɑ ʔ ⁵⁵				1608				
20028	Tibetan_Batang	bad	bad	du⁵⁵pᴜ⁵³	d u ⁵⁵ + p u ⁵³				579				
20029	Tibetan_Batang	bad	bad	ɕɑu⁵⁵dɛʔ⁵³	ɕ ɑ u ⁵⁵ + d ɛ ʔ ⁵³				2316				
21824	Zhaba_Daofu_County	bad	bad	ʂtʂu⁵⁵tʂu³³	ʂ ʈʂ u ⁵⁵ + ʈʂ u ³³				2303				
21912	Darang_Taraon	bad	bad	pɹɑ⁵⁵jim⁵⁵	p ɹ ɑ ⁵⁵ + j i m ⁵⁵				2327				
22606	Tibetan_Xiahe	bad	bad	a χa ma	a _ χ a _ m a				2482				
22607	Tibetan_Xiahe	bad	bad	ŋan	ŋ a n				245				
23741	Lisu	bad	bad	ma³¹dʑi³³	m a ³¹ + dʑ i ³³				2716				
23833	Bokar	bad	bad	po moŋ	p o + m o ŋ				2749				
25353	Bokar	bad	bad	ka ru	k a + r u				3052				
25418	Tibetan_Alike	bad	bad	ŋan bæ	ŋ a n _ b æ				245				
30762	Old_Chinese		bad	ʔˤak	ʔˤ a k		WT ag-po 'bad'	坏	3616				
31057	Old_Burmese		bad	chuiwḥ	ch ui w ḥ/				1044				
31298	Limbu		bad	tɛp_phɛːm-ba	t ɛ p _ pʰ ɛː m + b a				3702				
31312	Khaling		bad	mʌbʌ̄ŋpɛ	m ʌ b ʌ ŋ p ɛ				3704				
31556	Wobzi_Khroskyabs		bad	mə-tsʰâ	m ə + tsʰ â				3733				
31809	Chepang	evil or bad (esp. speech, description), unpleasant, call by bad name	bad	hal-	h a l				3793				
31810	Chepang	ugly, bad, evil (esp. talk), be corrupted, in bad condition, be unlucky, ruined	bad	rew-	r e w				3186				
31811	Chepang	ugly, inauspicious, bad, evil	bad	ryəw-	r j ə w				3186				
32397	Thulung		bad	medzɵpa	m e dz ɵ p a				4051				
32646	Hakha_Chin	bad (adj.)	bad	a ttha lo , a thu a tlolmi	tsʰ ì/i a + tsʰ i a t				1463				
33053	Bunan	bad	bad	marap	m a r a p	tib[ma.rabs]	Comment (by Widmer2014): «WT ma rabs»		246				
33181	Byangsi	bad	bad	yaddɛ	j a d d ɛ				329				
33400	Rongpo	bad	bad	khəra:b	kʰ ə r aː b	IA			246				
33634	Kulung	bad, useless, worthless. (adj.)	bad	mannǝpa	m a n n ə p a				613				
33860	Bantawa	to be bad	bad	ɨma (ɨsa)	ɨ s				745				
33861	Bantawa	bad, evil	bad	ɨssawa	ɨ s s a w a				745				
34136	Achang_Longchuan	bad	bad	tɕa⁵⁵	tɕ a ⁵⁵				889				
34138	Atsi	bad	bad	then²¹	tʰ e n ²¹				486				
34139	Bola	bad	bad	a³¹kai⁵⁵	a ³¹ + k a i ⁵⁵				890				
34141	Lashi	bad	bad	pjɔːʔ³¹	p j ɔː ʔ ³¹				892				
34142	Maru	bad	bad	kɔi³⁵	k ɔ i ³⁵				890				
34143	Xiandao	bad	bad	n³¹cɛ⁵⁵	n ³¹ + c ɛ ⁵⁵				893				
34567	Rangoon		bad	sho⁵⁵	sʰ o ⁵⁵				1044				
34568	Rangoon		bad	ȵɑ̃⁵³	nʲ ɑ̃ ∼ ⁵³				1045				
35901	Lushai	bad	bad	t̥ha◦lo	ʈʰ a + l o				1462				
35902	Lushai	bad	bad	chhia	tʃʰ i a				1463				
36189	Beijing	bad	bad	xuæi⁵¹	x u æ i ⁵¹			壞	1623				
36190	Beijing	bad	bad	læi⁵¹	l æ i ⁵¹			賴	1620				
36191	Guangzhou	bad	bad	søy⁵³	s ø y ⁵³		衰	壞	10263				
36192	Chaozhou		bad	pʰai⁵³	pʰ a i ⁵³				1622				
36193	Longgang		bad	sɔi³³	s ɔ i ³³				10263				
36194	Jieyang		bad	huai³⁵	h u a i ³⁵	< Mand.	壞 is very recent (HYDZD)		1623				
36195	Xingning		bad	fai⁵³	f a i ⁵³	< Mand.	壞 is very recent (HYDZD)		1623				
36196	Jieyang		bad	mɔ³¹	m ɔ ³¹	< Cant.	< m¹¹ hɔ⁵³ (not-good). Tone is yinshang. Other Min dialects use other forms. contraction of m¹¹ hɔ⁵³ (not-good). Tone is yinshang		1625				
36197	Jieyang		bad	pʰai³¹	pʰ a i ³¹				1622				
36198	Chaozhou		bad	mɔ⁵³	m ɔ ⁵³	< Cant.	< m¹¹ hɔ⁵³ (not-good). Tone is yinshang. Other Min dialects use other forms.		1625				
38078	Tangut		bad	niow	n i o w				10179				
38397	Mikir		bad	henō	h e n ō/oː		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «hingo» (page: 199)		29823				
#
496	Old_Tibetan		below, under	gɕam	g ɕ a m				380				
525	Japhug		below, under	ɯ-pa	ɯ + p a				396				
16769	Motuo_Menba	below / under	below, under	doŋ ten	d o ŋ _ t e n				314				
16814	Jingpho	below / under	below, under	lă³¹wuʔ⁵⁵	l ă ³¹ + w u ʔ ⁵⁵				343				
17866	rGyalrong_Maerkang	below / under	below, under	wu spoi	w u _ s p o i				930				
18156	Tibetan_Lhasa	below / under	below, under	mɛ̃¹³tɕhɛ⁵²	m ɛ̃ ∼ ¹³ + tɕʰ ɛ ⁵²				1036				
18157	Tibetan_Lhasa	below / under	below, under	ɕam⁵²la	ɕ a m ⁵² + l a				380				
19110	Daofu	below / under	below, under	nə nkhvɛ	n ə + n kʰ v ɛ				10180				
19540	Dulong	below / under	below, under	pɑŋ³¹dʑɑŋ⁵⁵	p ɑ ŋ ³¹ + dʑ ɑ ŋ ⁵⁵				3438				
19811	Tibetan_Batang	below / under	below, under	mã¹³tɕøʔ⁵³	m ã ∼ ¹³ + tɕ ø ʔ ⁵³				1036				
21604	Zhaba_Daofu_County	below / under	below, under	ɑ¹³tshɿ³³	ɑ ¹³ + tsʰ ɿ ³³				2263				
23504	Lisu	below / under	below, under	o̱³¹si̱³³	o̠ ³¹ + s i̠ ³³				1202				
23581	Bokar	below / under	below, under	man dap	m a n + d a p	tib[man]			1036				
24464	Tibetan_Xiahe	below / under	below, under	man tɕhar	m a n _ tɕʰ a r				1036				
30323	Limbu		below, under	jo	j o				330				
30324	Khaling		below, under	jukkʌ	j u k k ʌ				330				
30767	Old_Chinese		below, under	gˤraʔ	gˤ r a ʔ		WT rga-ba	下面	1626				
31058	Old_Burmese		below, under	ʔo₂k	ʔ o₂/o k				1260				
31561	Wobzi_Khroskyabs		below, under	vi	v i				396				
31815	Chepang	underneath, beneath or below (place)	below, under	tal.ge	t a l + g e				315				
32078	Garo	below; under (pp)	below, under	ka•-ma	k a + + m a		-ma noun suffix: bik-ma 'belly'		3917				
32398	Thulung		below, under	dhwa:jʉ	dh w aː j ʉ				330				
32630	Thulung		below, under	dhali	dh a l i				315				
32651	Hakha_Chin	below (prep.)	below, under	thlang ah	tʰ l â ŋ				463				
33156	Bunan	under, below	below, under	tʰildok	tʰ i l d o k	tib[mtʰil]	Comment (by Widmer2014): «WT mthil "bottom, lowest part"»		315				
33182	Byangsi	below, down	below, under	yikho	j i kʰ o				330				
33401	Rongpo	under, below	below, under	thiŋcɔ	tʰ i ŋ tʃ ɔ				463				
33402	Rongpo	under, below	below, under	thɔrɔ	tʰ ɔ r ɔ				463				
33866	Bantawa	deictic expression meaning ‘that below’,;	below, under	hyu	h j u				330				
35053	Atsi	below / under	below, under	o̱⁵¹mai²¹	o̰ ⁵¹ + m a i ²¹				1202				
35154	Bola	below / under	below, under	a³¹a⁵⁵	a ³¹ + a ⁵⁵				1230				
35215	Achang_Longchuan	below / under	below, under	a³¹tʰe⁵¹	a ³¹ + tʰ e ⁵¹				1245				
35267	Maru	below / under	below, under	ɔ³¹mɛ³¹	ɔ ³¹ + m ɛ ³¹				1202				
35296	Rangoon	below / under	below, under	ɑuʔ⁴	ɑ u ʔ ⁴				1260				
35708	Old_Tibetan		below, under	ɦog	ɦ o g				1260				
35713	Bahing	below (adv)	below, under	hajy	h a j y				330				
35714	Bahing	under, below (n, pp)	below, under	dojy	d o j y				330				
35903	Lushai	under	below, under	hnuaiah	n̥ u a i a h				1464				
36200	Beijing	*under, below	below, under	ɕia⁵¹tʰou⁰	ɕ i a ⁵¹ tʰ o u ⁰			下頭	1626				
36201	Guangzhou	*under, below	below, under	ha²²pin²²	h a ²² p i n ²²			下便	1626				
36202	Chaozhou		below, under	e³⁵₁₁põĩ⁵⁵	e ¹¹/³⁵ p õ ĩ ∼ ⁵⁵				1626				
36203	Longgang		below, under	tai³³ha³³	t a i ³³ h a ³³				1626				
36204	Jieyang		below, under	e³⁵₁₁pãĩ⁵⁵	e ¹¹/³⁵ p ã ĩ ⁵⁵				1626				
36205	Xingning		below, under	ha³³pɔɛ⁵³	h a ³³ p ɔ ɛ ⁵³	< Min	suffix is Min		1626				
36206	Longgang		below, under	ha³³mɛn⁵⁵	h a ³³ m ɛ n ⁵⁵				1626				
36207	Longgang		below, under	ha³³pɔi⁵⁵	h a ³³ p ɔ i ⁵⁵	< Min	suffix is Min		1626				
37762	Hayu	down, below (adv)	below, under	hutoŋ	h u t o ŋ				2157				
37763	Hayu	below, down (adv)	below, under	yʊ̃ːkha	j ʊ̃ː kʰ a				330				
38146	Tangut		below, under	khju	kʰ j u				10180				
38475	Mikir		below, under	+rúm	+ r ú/u m		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «aber» (page: 204)		29842				
#
549	Old_Tibetan	big	big	tɕʰe-	tɕʰ e			大	412				
562	Khaling	big	big	ghoɔ̄lpɛ	gʰ oɔ̄ l p ɛ			大	416				
563	Limbu	big	big	yɔmba	j ɔ m b a			大	417				
578	Japhug	big	big	wxti	w x t i			大	29701				
17148	Motuo_Menba	big / large	big	tɕhi lo	tɕʰ i _ l o	tib[tɕʰe]			412				
17996	rGyalrong_Maerkang	big / large	big	kə ktᴇ	k ə _ k t ᴇ/ɛ̝				29701				
18334	Tibetan_Lhasa	big / large	big	tɕhẽ⁵⁵po⁵⁵	tɕʰ ẽ ∼ ⁵⁵ + p o ⁵⁵				412				
19258	Daofu	big / large	big	gɛ cçhɛ	g ɛ + cçʰ ɛ				1349				
19713	Dulong	big / large	big	tɑi⁵³	t ɑ i ⁵³				29701				
19952	Tibetan_Batang	big / large	big	tɕhɪ⁵³	tɕʰ ɪ ⁵³				412				
19953	Tibetan_Batang	big / large	big	tɕhɑu¹³	tɕʰ ɑ u ¹³				412				
21751	Zhaba_Daofu_County	big / large	big	tɕi⁵⁵tɕi⁵⁵	tɕ i ⁵⁵ + tɕ i ⁵⁵				29701				
21852	Darang_Taraon	big / large	big	dɯ³¹ɹɯŋ⁵⁵	d ɯ ³¹ + ɹ ɯ ŋ ⁵⁵				2310				
23669	Lisu	big / large	big	vu³¹	v u ³¹				3207				
23763	Bokar	big / large	big	təː pə	t əː + p ə				2723				
23860	Tibetan_Xiahe	big / large	big	tɕhe wo	tɕʰ e _ w o				412				
24718	Tibetan_Alike	big / large	big	tɕhe	tɕʰ e				412				
25035	Yidu	big / large	big	kɑ⁵⁵tɕhi⁵⁵	k ɑ ⁵⁵ + tɕʰ i ⁵⁵	tib[tɕʰe]			10321				
25122	Jingpho	big / large	big	kă³¹pa³¹	k ă ³¹ + p a ³¹				2998				
30768	Old_Chinese		big	lˤat←s	lˤ a t + s			大	1627				
31059	Old_Burmese		big	krīḥ	k r ī/iː ḥ/				909				
31562	Wobzi_Khroskyabs		big	qʰrɑ́	qʰ r ɑ́				3734				
31816	Chepang	big (esp. in height, length), large	big	braw-	b r a w				3795				
32079	Garo	big; large (vi)	big	dal•-a	d a l ʔ + a				3918				
32399	Thulung		big	ɖokpu	ɖ o k p u				4052				
32652	Hakha_Chin	big (adj.)	big	lian , ngan	l i a n				1465				
33130	Bunan	big, honest	big	tedzi	t e dz i		Comment (by :cite:Widmer2014): «PTB *tay / Rongpo te 'viel, sehr viel' (Zoller 1983) /»		29701				
33183	Byangsi	big	big	poda	p o d a				331				
33403	Rongpo	big	big	bəRa	b ə ɽ a	IA बढा			464				
33404	Rongpo	big	big	tuŋtə	t u ŋ t ə				465				
33635	Kulung	big, fat (adj.)	big	depa	d e p a		Nepali: ṭhūlo, moṭo. (Tolsma1999)		29701				
33867	Bantawa	big	big	ɨdʰiwaŋ	ɨ dʱ i w a ŋ				747				
34193	Achang_Longchuan	big	big	kʐə³¹	k ʐ ə ³¹				909				
34195	Atsi	big	big	ko̱²¹	k o̰ ²¹				909				
34196	Bola	big	big	kɔ̱³⁵	k ɔ̰ ³⁵				909				
34197	Lashi	big	big	kjiː³³	k j iː ³³				909				
34198	Maru	big	big	ɣə³⁵	ɣ ə ³⁵				909				
34199	Xiandao	big	big	kɯ³¹	k ɯ ³¹				909				
