# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALMS	NOTE	BORROWING	CHINESE	COGID	COGS	HANZI	MORPHEME_STRUCTURE
36208	SiniticBeijing	big	big	ta⁵¹	t a ⁵¹	t - a - ⁵¹ ( - - - )			大	1627	18	大	big-18
36209	SiniticGuangzhou	big	big	tai²²	t a i ²²	t a i - ²² ( - - - )	expect l-	< post-Han	大	29986	18	大	big-18
36211	SiniticLonggang		big	tʰai⁵⁴	tʰ a i ⁵⁴	tʰ a i - ⁵⁴ ( - - - )	expect l-	< post-Han		29987	18	大	big-18
37764	KirantiHayu	be big, become big; win (vi, vr)	big	xʊn	x ʊ n	x ʊ n				2158			
37765	KirantiHayu	big, huge (adj)	big	ʊlawo	ʊ l a w o	ʊ l a w o				2159			
21751	QiangicZhaba	big / large	big	tɕi⁵⁵tɕi⁵⁵	tɕ i ⁵⁵ ◦ tɕ i ⁵⁵	- - - - tɕ - i ⁵⁵ ( - ◦ tɕ i ⁵⁵ )				29701			
21852	DengDarangTaraon	big / large	big	dɯ³¹ɹɯŋ⁵⁵	d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵	d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵				2310			
31059	BurmishOldBurmese		big	krīḥ	k r ī ḥ	k r ī ḥ -				909			
36213	SiniticXingning		big	tʰai⁵⁵ku²¹	tʰ a i ⁵⁵ k u ²¹	tʰ a i - ⁵⁵ ( k u ²¹ )	expect l-	< post-Han		30048	18 73	大牯	big-18 _big-73
33867	KirantiBantawa	big	big	ɨdʰiwaŋ	ɨ dʱ i w a ŋ	ɨ dʱ i w a ŋ				747			
23763	TaniBokar	big / large	big	təː pə	t əː + p ə	t əː + p ə				2723			
23860	TibetanXiahe	big / large	big	tɕhe wo	tɕh e _ w o	- - - - tɕh e - - ( _ w o - - )				412			
35715	KirantiBahing	big (adj)	big	a-ŋolo	a + ŋ o l o	a + ŋ o l o				861			
24718	TibetanAlike	big / large	big	tɕhe	tɕh e	- - - - tɕh e - - ( - - - - - )				412			
34195	BurmishAtsi	big	big	ko̱²¹	k o̰ ²¹	k - o̰ - ²¹				909	86		big
34196	BurmishBola	big	big	kɔ̱³⁵	k ɔ̰ ³⁵	k - ɔ̰ - ³⁵				909	86		big
25035	DengYidu	big / large	big	kɑ⁵⁵tɕhi⁵⁵	k ɑ ⁵⁵ ◦ tɕh i ⁵⁵	k ɑ ⁵⁵ ◦ tɕh i - ⁵⁵ ( - - - - - )		tib[tɕʰe]		30076			
25122	JingphoJingpho	big / large	big	kă³¹pa³¹	k ă ³¹ ◦ p a ³¹	k ă ³¹ ◦ p a ³¹				2998			
23669	LoloishLisu	big / large	big	vu³¹	v u ³¹	v u ³¹				3207			
33403	TibetoKinauriRongpo	big	big	bəRa	b ə ɽ a	b ə ɽ a		IA बढा		29969			
33130	TibetoKinauriBunan	big, honest	big	tedzi	t e dz i	- - - - t - e - ( - - dz i - )	Comment (by :cite:Widmer2014): «PTB *tay / Rongpo te 'viel, sehr viel' (Zoller 1983) /»			29701			
38599	Rabha	big / large	big	tem-poŋ	t e m + p o ŋ					10322			
37555	NagaUkhrul	big	big	kə-haka	k ə + h a k a	k ə + h a k a				3314			
35905	MizoLushai	big	big	hrawl	r̥ ɔ l	r̥ ɔ l				1244			
32399	KirantiThulung		big	ɖokpu	ɖ o k p u	ɖ o k p u				4052			
30768	SiniticOldChinese		big	lˤat←s	lˤ a t + s	lˤ a t + s ( - - - )			大	1627		大	big-18 _s-suffix
38013	Tangut		big	khwej	kh w e j					10181		大	
31562	KhroskyabsWobzi		big	qʰrɑ́	qʰ r ɑ́	qʰ r ɑ́				3734			
31816	ChepangChepang	big (esp. in height, length), large	big	braw-	b r a w	b r a w				3795			
32079	GaroGaro	big; large (vi)	big	dal•-a	d a l ʔ + a	d a l ʔ + a				3918			
32652	ChinHakha	big (adj.)	big	lian , ngan	l i ǎ n	l i ǎ n				1465			
#
33015	TibetoKinauriBunan	black	black	kʰaj	kʰ a j	kʰ a j - - - - - - - - - - - - - - - - -	Comment (by Widmer2014): «ZZ kha-rlon»			215			
17010	JingphoJingpho	black	black	tʃa̱ŋ³³	tʃ a̱ ŋ ³³	tʃ a̱ ŋ ³³				459			
33405	TibetoKinauriRongpo	black	black	tiŋdə	t i ŋ d ə	t i ŋ d ə				466			
708	TibetanOldTibetan	black	black	nag-	n a g ◦	( - - - ) - - - - - - - ( - - - - ) n a g ◦ ( - - - - - - - - - - - - - - - - )			黑	511		黑	
721	KirantiKhaling	black	black	kekêm	k e k ê m	k e - k ê m - - - - - - - - - - - - - -			黑	215		黑	
722	KirantiLimbu	black	black	mak	m a k	m a k -			黑	519		黑	
737	rGyalrongJaphug	black	black	ɲaʁ	ɲ a ʁ	( - - - ) - - - - - - - ( - - - - ) ɲ a ʁ - ( - - - - - - - - - - - - - - - - )			黑	511		黑	
33870	KirantiBantawa	black	black	makɨwa	m a k ɨ w a	m a k ɨ w a -				749			
34216	BurmishAtsi	black	black	noʔ²¹	n o ʔ ²¹	( - - - ) - - - - - - - ( - - - - ) n o ʔ ²¹ ( - - - - - - - - - - - - - - - - )				511	92		black
34217	BurmishBola	black	black	naʔ³¹	n a ʔ ³¹	( - - - ) - - - - - - - ( - - - - ) n a ʔ ³¹ ( - - - - - - - - - - - - - - - - )				511	92		black
34219	BurmishLashi	black	black	nɔːʔ³¹	n ɔː ʔ ³¹	( - - - ) - - - - - - - ( - - - - ) n ɔː ʔ ³¹ ( - - - - - - - - - - - - - - - - )				511	92		black
34220	BurmishMaru	black	black	nɔʔ³¹	n ɔ ʔ ³¹	( - - - ) - - - - - - - ( - - - - ) n ɔ ʔ ³¹ ( - - - - - - - - - - - - - - - - )				511	92		black
18021	rGyalrongMaerkang	black	black	kə nɐk	k ə _ n ɐ k	( k ə _ ) - - - - - - - ( - - - - ) n ɐ k - ( - - - - - - - - - - - - - - - - )	Tib nag	IA		29898			
34657	BurmishRangoon		black	nɛʔ⁴	n ɛ ʔ ⁴	( - - - ) - - - - - - - ( - - - - ) n ɛ ʔ ⁴ ( - - - - - - - - - - - - - - - - )				511	92		black
18363	TibetanLhasa	black	black	na¹³ko⁵⁵	n a ¹³ ◦ k o ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n a - ¹³ ( - - - - ◦ k o - ⁵⁵ - - - - - - - )				511			
19065	DengDarangTaraon	black	black	mɑŋ⁵³	m ɑ ŋ ⁵³	m ɑ ŋ ⁵³	=Ch, Limbu ?			519			
19300	rGyalrongDaofu	black	black	ȵa ȵa	ȵ a + ȵ a	( - - - ) - - - - - - - ( - - - - ) ȵ a - + ( - ȵ a - - - - - - - - - - - - - )				511			
35907	MizoLushai	black	black	hâng	h â ŋ	- - - - - - - - - - - - - - - - - h â ŋ				10222			
19739	NungicDulong	black	black	nɑʔ⁵⁵	n ɑ ʔ ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n ɑ ʔ ⁵⁵ ( - - - - - - - - - - - - - - - - )				511			
36214	SiniticBeijing	black	black	xei⁵⁵	x e i ⁵⁵	x e i ⁵⁵			黑	519	20	黑	black-20
36216	SiniticChaozhou		black	ou³³	o u ³³	- o u ³³				1628	504	烏	black-504
20160	TibetanBatang	black	black	nɑ¹³nɑʔ⁵³	n ɑ ¹³ ◦ n ɑ ʔ ⁵³	( - - - ) - - - - - - - ( n ɑ ¹³ ◦ ) n ɑ ʔ ⁵³ ( - - - - - - - - - - - - - - - - )				511			
36215	SiniticGuangzhou	black	black	hɐk⁵	h ɐ k ⁵	h ɐ k ⁵			黑	519	20	黑	black-20
36217	SiniticLonggang		black	vu³³	v u ³³	v u ³³ -				1628	504	烏	black-504
37556	NagaUkhrul	black (be v.)	black	kə-tsik	k ə + ts i k	k ə - + - - - - - ts i k - - - - - - - -				10223			
37766	KirantiHayu	black (adj)	black	khaktshiŋmi	kʰ a k tsʰ i ŋ m i	kʰ a - k - - - - - tsʰ i ŋ m i - - - - - -				215			
33636	KirantiKulung	black (adj.)	black	gugurpa	g u g u r p a	g u g u r p a	Nepali: kālo. (Tolsma1999)			614			
38612	Rabha	black	black	ak	a k					10325			
22400	QiangicZhaba	black	black	na⁵⁵na⁵⁵	n a ⁵⁵ ◦ n a ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n a - ⁵⁵ ( ◦ n a ⁵⁵ - - - - - - - - - - - - )				511			
22578	TibetanXiahe	black	black	naχ kwo	n a χ _ k w o	( - - - ) - - - - - - - ( - - - - ) n a χ _ ( - - - - - k w o - - - - - - - - )				511			
36218	SiniticJieyang		black	ou³³	o u ³³	- o u ³³				1628	504	烏	black-504
36219	SiniticXingning		black	vu⁴⁵	v u ⁴⁵	v u ⁴⁵ -				1628	504	烏	black-504
23702	LoloishLisu	black	black	nɛ̱³³	n ɛ̱ ³³	( - - - ) - - - - - - - ( - - - - ) n ɛ̱ - ³³ ( - - - - - - - - - - - - - - - - )				511			
23795	TaniBokar	black	black	kaː jaŋ	k aː + j a ŋ	k aː - + - - j a ŋ - - - - - - - - - - -				215			
35716	KirantiBahing	black (adj)	black	kɛkɛ	k ɛ k ɛ	k ɛ - k ɛ - - - - - - - - - - - - - - -				215			
17178	BodicTshangla	black	black	tɕhaŋ lu	tɕh a ŋ _ l u	tɕh a ŋ _ l u				459			
24749	TibetanAlike	black	black	nok ko	n o k _ k o	( - - - ) - - - - - - - ( - - - - ) n o k - ( - - - - _ k o - - - - - - - - - )				511			
25057	DengYidu	black	black	mɑ⁵⁵	m ɑ ⁵⁵	m ɑ - ⁵⁵				519			
34215	BurmishAchang	black	black	lɔk⁵⁵	l ɔ k ⁵⁵	( - - - ) - - - - - - - ( - - - - ) l ɔ k ⁵⁵ ( - - - - - - - - - - - - - - - - )				511	92		black
34221	BurmishXiandao	black	black	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	( - - - ) - - - - - - - ( - - - - ) n ɔ ʔ ⁵⁵ ( - - - - - - - - - - - - - - - - )				511	92		black
38306	Karbi		black	ìk	ì k		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «ik(-kui, -sip, -vu); [...]» (page: 207)			10326			
741	Tangut	black	black	njaa¹	n j aa ¹				黑	511		黑	
35906	MizoLushai	black	black	dum	d u m	d u m				3433			
33184	TibetoKinauriByangsi	black	black	wamdɛ	w a m d ɛ	w a m d ɛ				332			
37557	NagaUkhrul	black (be v.)	black	kʰə-mə-haŋ	kʰ ə + m ə + h a ŋ	kʰ ə - + - - - - - - - - - - m ə + h a ŋ				10222			
30772	SiniticOldChinese		black	m̥ˤək	m̥ˤ ə k	m̥ˤ ə k -			黑	519		黑	black-20
31060	BurmishOldBurmese		black	nak	n a k	( - - - ) - - - - - - - ( - - - - ) n a k - ( - - - - - - - - - - - - - - - - )				511			
31565	KhroskyabsWobzi		black	ɲá	ɲ á	( - - - ) - - - - - - - ( - - - - ) ɲ á - - ( - - - - - - - - - - - - - - - - )				511			
31819	ChepangChepang	very dark, black	black	tik.tak	t i k + t a k	t i k + t a k				3796			
31820	ChepangChepang	black, dark	black	gal-	g a l	g a l				3797			
32082	GaroGaro	black (vi)	black	gi-sim	g i s i m	g i s i m				3919			
32655	ChinHakha	black (adj.)	black	nak , a nak	n a k	( - - - ) - - - - - - - ( - - - - ) n a k - ( - - - - - - - - - - - - - - - - )	[full entry: ]			511			
32400	KirantiThulung		black	kekem	k e k e m	k e - k e m - - - - - - - - - - - - - -				215			
#
33102	TibetoKinauriBunan	cold	cold (of temperature)	soj	s o j	s o j				279			
33172	ChinHakha		cold (of temperature)	sik	s i k + s i ʔ	s i k - + ( - - - - - - - - - - - ) - ( s i ʔ )				325			
38333	Karbi		cold (of temperature)	ingsām	i ng s ā m		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «kechung, kangsam; (-- wheather) ningkreng, chungjing[...]» (page: 229)			10337			
33406	TibetoKinauriRongpo	cold, winter	cold (of temperature)	sod	s o d	s o d				279			
17061	JingphoJingpho	cold (weather, water)	cold (of temperature)	kă³¹ʃuŋ³³	k ă ³¹ ◦ ʃ u ŋ ³³	k ă ³¹ ◦ ʃ u ŋ ³³				492			
17213	BodicTshangla	cold (weather)	cold (of temperature)	per bu	p e r _ b u	p e r _ b u				587			
33637	KirantiKulung	cold, cool (adj.)	cold (of temperature)	chikchilikpa	tʃʰ i k tʃʰ i l i k p a	tʃʰ i k - - ( tʃʰ i l i k p a - - - - ) - ( - - - )	Nepali: ciso. (Tolsma1999)			325			
32976	TibetoKinauriBunan	cold	cold (of temperature)	gartɕam	g a r tɕ a m	g a r tɕ a m	Comment (by Widmer2014): «WT cham pa»			182			
17871	TibetanXiahe	cold (weather)	cold (of temperature)	tɕaŋ	tɕ a ŋ	- - tɕ - a ŋ - - ( - - - - )				933			
1503	TibetanOldTibetan	cold	cold (of temperature)	graŋ-	g r a ŋ ◦	- - g r a ŋ - - ( ◦ - - - )			冷	933		寒	
1516	KirantiKhaling	cold	cold (of temperature)	tshʌkpɛ	tsʰ ʌ k p ɛ	tsʰ ʌ k - - ( - - - - - p ɛ - - - - ) - ( - - - )			冷	325		寒	
1517	KirantiLimbu	cold	cold (of temperature)	ci:kt-	c i: k t ◦	c i: k t ◦ ( - - - - - - - - - - - ) - ( - - - )			冷	325		寒	
1532	rGyalrongJaphug	cold	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ	( - - - m ɯ - ) ɕ t a ʁ			冷	1002		寒	
1536	Tangut	cold	cold (of temperature)	dạ²	d ạ ²				冷	1002		寒	
34321	BurmishAchang	cold (weather, water)	cold (of temperature)	kʐuat⁵⁵	k ʐ u a t ⁵⁵	k ʐ u a t ⁵⁵	bad concept			956	153		cold
34322	BurmishAtsi	cold (weather, water)	cold (of temperature)	kjoʔ²¹	k j o ʔ ²¹	k j - o ʔ ²¹	bad concept			956	153		cold
34323	BurmishBola	cold (weather, water)	cold (of temperature)	kjaʔ³¹	k j a ʔ ³¹	k j - a ʔ ³¹	bad concept			956	153		cold
34325	BurmishMaru	cold (weather, water)	cold (of temperature)	kjɔʔ³¹	k j ɔ ʔ ³¹	k j - ɔ ʔ ³¹	bad concept			956	153		cold
34326	BurmishXiandao	cold (weather, water)	cold (of temperature)	kʐot⁵⁵	k ʐ o t ⁵⁵	k ʐ - o t ⁵⁵	bad concept			956	153		cold
18059	rGyalrongMaerkang	cold (weather, water)	cold (of temperature)	kə mə ʃtɑk	k ə _ m ə _ ʃ t ɑ k	( k ə _ m ə _ ) ʃ t ɑ k				1002			
34726	BurmishRangoon		cold (of temperature)	ʨʰɑ̃⁵⁵	tɕʰ ɑ̃ ∼ ⁵⁵	tɕʰ ɑ̃ ∼ ⁵⁵	bad concept			1083	154		cold1
18417	TibetanLhasa	cold (weather, water)	cold (of temperature)	tʂhəŋ¹³ŋu⁵⁵	tʂh ə ŋ ¹³ ◦ ŋ u ⁵⁵	- - tʂh - ə ŋ - ¹³ ( ◦ ŋ u ⁵⁵ )				933			
18418	TibetanLhasa	cold (weather, water)	cold (of temperature)	cha⁵⁵ko⁵⁵	ch a ⁵⁵ ◦ k o ⁵⁵	- ch a - ⁵⁵ ( ◦ k o ⁵⁵ )				1102			
38627	Rabha	cold (weather, water)	cold (of temperature)	sí-xam	s í + x a m					10336			
33185	TibetoKinauriByangsi	cold	cold (of temperature)	khat	kʰ a t	kʰ a t				333			
19366	rGyalrongDaofu	cold (weather, water)	cold (of temperature)	ʂkhu ʂkhu	ʂ kʰ u + ʂ kʰ u	ʂ kʰ u + ʂ kʰ u	!			1384			
36222	SiniticGuangzhou	cold	cold (of temperature)	tʊŋ³³	t ʊ ŋ ³³	t ʊ ŋ ³³			凍	1629	515	凍	cold-515
36224	SiniticLonggang		cold (of temperature)	laŋ³³	l a ŋ ³³	- - - l a ŋ ³³ - ( - - - - )				933	29	冷	cold-29
36226	SiniticXingning		cold (of temperature)	laŋ²¹	l a ŋ ²¹	- - - l a ŋ ²¹ - ( - - - - )				933	29	冷	cold-29
20034	TibetanBatang	cold (weather, water)	cold (of temperature)	tʂõ¹³mᴜ⁵³	tʂ õ ∼ ¹³ ◦ m ᴜ ⁵³	- - tʂ - õ ∼ ¹³ - ( ◦ m ᴜ ⁵³ )				933			
36220	SiniticBeijing	cold	cold (of temperature)	lɤŋ²¹⁴	l ɤ ŋ ²¹⁴	- - - l ɤ ŋ ²¹⁴ - ( - - - - )			冷	933	29	冷	cold-29
36223	SiniticChaozhou		cold (of temperature)	ŋaŋ⁵⁵	ŋ a ŋ ⁵⁵	ŋ a ŋ ⁵⁵				1630	113	凝	cold-113
37558	NagaUkhrul	cold	cold (of temperature)	kʰə-mə-ku	kʰ ə + m ə + k u	kʰ ə + m ə + k u				2032			
38018	Tangut		cold (of temperature)	dʑjij	dʑ ji j					10187		寒	
21835	QiangicZhaba	cold (water)	cold (of temperature)	vɪ⁵⁵vɪ⁵⁵	v ɪ ⁵⁵ ◦ v ɪ ⁵⁵	v ɪ ⁵⁵ ◦ v ɪ ⁵⁵				2307			
21922	DengDarangTaraon	cold (weather, water)	cold (of temperature)	dzoŋ⁵³	dz o ŋ ⁵³	dz - o - ŋ ⁵³ ( - - - - )				2160			
22295	NungicDulong	cold (weather, water)	cold (of temperature)	tit⁵⁵	t i t ⁵⁵	t i t ⁵⁵				2433			
38691	Rabha		cold (of temperature)	cɨk	c ɨ k	c ɨ k				325			
22615	TibetanXiahe	cold (water)	cold (of temperature)	tɕhaχ kwa	tɕh a χ _ k w a	- tɕh a χ _ ( - k w a )				1102			
36225	SiniticJieyang		cold (of temperature)	ŋaŋ⁵⁵	ŋ a ŋ ⁵⁵	ŋ a ŋ ⁵⁵				1630	113	凝	cold-113
33882	KirantiBantawa	be cold	cold (of temperature)	keŋma (keŋa)	k e ŋ	k e ŋ				758			
23750	LoloishLisu	cold (weather, water)	cold (of temperature)	dʑɛ̱³³	dʑ ɛ̱ ³³	dʑ ɛ̱ ³³				2719			
23844	TaniBokar	cold (weather, water)	cold (of temperature)	ɦɯ tɕir	ɦ ɯ + tɕ i r	ɦ ɯ + tɕ i r				3281			
24018	QiangicZhaba	cold (weather)	cold (of temperature)	ʌ⁵⁵guɛ⁵⁵	ʌ ⁵⁵ ◦ g u ɛ ⁵⁵	ʌ ⁵⁵ ◦ g u ɛ ⁵⁵				2793			
35717	KirantiBahing	cold (n)	cold (of temperature)	dzuːmi	d z uː m i	d z uː - - - ( m i - - )				2160			
24788	TibetanAlike	cold (weather, water)	cold (of temperature)	ncçhak	n cçh a k	n cçh a k - ( - - - - )	!			1102			
