# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	BORROWING	NOTE	CHINESE	COGID	HANZI	RGEN	SOURCE	ENTRY_IN_SOURCE
21751	Zhaba_Daofu_County	big / large	big	tɕi⁵⁵tɕi⁵⁵	tɕ i ⁵⁵ + tɕ i ⁵⁵				29701				
21852	Darang_Taraon	big / large	big	dɯ³¹ɹɯŋ⁵⁵	d ɯ ³¹ + ɹ ɯ ŋ ⁵⁵				2310				
23669	Lisu	big / large	big	vu³¹	v u ³¹				3207				
23763	Bokar	big / large	big	təː pə	t əː + p ə				2723				
23860	Tibetan_Xiahe	big / large	big	tɕhe wo	tɕʰ e _ w o				412				
24718	Tibetan_Alike	big / large	big	tɕhe	tɕʰ e				412				
25035	Yidu	big / large	big	kɑ⁵⁵tɕhi⁵⁵	k ɑ ⁵⁵ + tɕʰ i ⁵⁵	tib[tɕʰe]			10321				
25122	Jingpho	big / large	big	kă³¹pa³¹	k ă ³¹ + p a ³¹				2998				
30768	Old_Chinese		big	lˤat←s	lˤ a t + s			大	1627				
31059	Old_Burmese		big	krīḥ	k r ī/iː ḥ/				909				
31562	Wobzi_Khroskyabs		big	qʰrɑ́	qʰ r ɑ́				3734				
31816	Chepang	big (esp. in height, length), large	big	braw-	b r a w				3795				
32079	Garo	big; large (vi)	big	dal•-a	d a l ʔ + a				3918				
32399	Thulung		big	ɖokpu	ɖ o k p u				4052				
32652	Hakha_Chin	big (adj.)	big	lian , ngan	l i a n				1465				
33130	Bunan	big, honest	big	tedzi	t e dz i		Comment (by :cite:Widmer2014): «PTB *tay / Rongpo te 'viel, sehr viel' (Zoller 1983) /»		29701				
33183	Byangsi	big	big	poda	p o d a				331				
33403	Rongpo	big	big	bəRa	b ə ɽ a	IA बढा			464				
33404	Rongpo	big	big	tuŋtə	t u ŋ t ə				465				
33635	Kulung	big, fat (adj.)	big	depa	d e p a		Nepali: ṭhūlo, moṭo. (Tolsma1999)		29701				
33867	Bantawa	big	big	ɨdʰiwaŋ	ɨ dʱ i w a ŋ				747				
34193	Achang_Longchuan	big	big	kʐə³¹	k ʐ ə ³¹				909				
34195	Atsi	big	big	ko̱²¹	k o̰ ²¹				909				
34196	Bola	big	big	kɔ̱³⁵	k ɔ̰ ³⁵				909				
34197	Lashi	big	big	kjiː³³	k j iː ³³				909				
34198	Maru	big	big	ɣə³⁵	ɣ ə ³⁵				909				
34199	Xiandao	big	big	kɯ³¹	k ɯ ³¹				909				
35587	Rangoon		big	ʨi⁵⁵	tɕ i ⁵⁵				909				
35715	Bahing	big (adj)	big	a-ŋolo	a + ŋ o l o				861				
35904	Lushai	big	big	lian	l i a n				1465				
35905	Lushai	big	big	hrawl	r̥ ɔ l				1244				
36208	Beijing	big	big	ta⁵¹	t a ⁵¹			大	1627				
36209	Guangzhou	big	big	tai²²	t a i ²²	< post-Han	expect l-	大	1627				
36210	Chaozhou		big	tua¹¹	t u a ¹¹	< post-Han	expect l-		1627				
36211	Longgang		big	tʰai⁵⁴	tʰ a i ⁵⁴	< post-Han	expect l-		1627				
36212	Jieyang		big	tua¹¹	t u a ¹¹	< post-Han	expect l-		1627				
36213	Xingning		big	tʰai⁵⁵ku²¹	tʰ a i ⁵⁵ k u ²¹	< post-Han	expect l-		1627				
37555	Ukhrul	big	big	kə-haka	k ə + h a k a				3314				
37764	Hayu	be big, become big; win (vi, vr)	big	xʊn	x ʊ n				2158				
37765	Hayu	big, huge (adj)	big	ʊlawo	ʊ l a w o				2159				
38013	Tangut		big	khwej	kʰ w e j				10181				
38328	Mikir		big	thè	tʰ è/e		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «the(dung)» (page: 206)		29701				
38599	Rabha	big / large	big	tem-poŋ	t e m + p o ŋ				10322				
#
708	Old_Tibetan	black	black	nag-	n a g +			黑	511				
721	Khaling	black	black	kekêm	k e k ê/e m			黑	215				
722	Limbu	black	black	mak	m a k			黑	519				
737	Japhug	black	black	ɲaʁ	ɲ a ʁ			黑	511				
741	Tangut	black	black	njaa¹	n j aː ¹			黑	511				
17010	Jingpho	black	black	tʃa̱ŋ³³	tʃ a̠ ŋ ³³				459				
17178	Motuo_Menba	black	black	tɕhaŋ lu	tɕʰ a ŋ _ l u				459				
18021	rGyalrong_Maerkang	black	black	kə nɐk	k ə _ n ɐ k	IA	Tib nag		511				
18363	Tibetan_Lhasa	black	black	na¹³ko⁵⁵	n a ¹³ + k o ⁵⁵				511				
19065	Darang_Taraon	black	black	mɑŋ⁵³	m ɑ ŋ ⁵³		=Ch, Limbu ?		519				
19300	Daofu	black	black	ȵa ȵa	ȵ a + ȵ a				511				
19301	Daofu	black	black	ga ȵa	g a + ȵ a				511				
19739	Dulong	black	black	nɑʔ⁵⁵	n ɑ ʔ ⁵⁵				511				
20160	Tibetan_Batang	black	black	nɑ¹³nɑʔ⁵³	n ɑ ¹³ + n ɑ ʔ ⁵³				511				
22400	Zhaba_Daofu_County	black	black	na⁵⁵na⁵⁵	n a ⁵⁵ + n a ⁵⁵				511				
22578	Tibetan_Xiahe	black	black	naχ kwo	n a χ _ k w o				511				
23702	Lisu	black	black	nɛ̱³³	n ɛ̠ ³³				511				
23795	Bokar	black	black	kaː jaŋ	k aː + j a ŋ				215				
24749	Tibetan_Alike	black	black	nok ko	n o k _ k o				511				
25057	Yidu	black	black	mɑ⁵⁵	m ɑ ⁵⁵				519				
30772	Old_Chinese		black	m̥ˤək	m̥ˤ ə k			黑	519				
31060	Old_Burmese		black	nak	n a k				511				
31565	Wobzi_Khroskyabs		black	ɲá	ɲ á/a				511				
31819	Chepang	very dark, black	black	tik.tak	t i k + t a k				3796				
31820	Chepang	black, dark	black	gal-	g a l				3797				
32082	Garo	black (vi)	black	gi-sim	g i s i m				3919				
32400	Thulung		black	kekem	k e k e m				215				
32655	Hakha_Chin	black (adj.)	black	nak , a nak	n a k		[full entry: ]		511				
33015	Bunan	black	black	kʰaj	kʰ a j		Comment (by Widmer2014): «ZZ kha-rlon»		215				
33184	Byangsi	black	black	wamdɛ	w a m d ɛ				332				
33405	Rongpo	black	black	tiŋdə	t i ŋ d ə				466				
33636	Kulung	black (adj.)	black	gugurpa	g u g u r p a		Nepali: kālo. (Tolsma1999)		614				
33870	Bantawa	black	black	makɨwa	m a k ɨ w a				749				
34215	Achang_Longchuan	black	black	lɔk⁵⁵	l ɔ k ⁵⁵				511				
34216	Atsi	black	black	noʔ²¹	n o ʔ ²¹				511				
34217	Bola	black	black	naʔ³¹	n a ʔ ³¹				511				
34219	Lashi	black	black	nɔːʔ³¹	n ɔː ʔ ³¹				511				
34220	Maru	black	black	nɔʔ³¹	n ɔ ʔ ³¹				511				
34221	Xiandao	black	black	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵				511				
34657	Rangoon		black	nɛʔ⁴	n ɛ ʔ ⁴				511				
35716	Bahing	black (adj)	black	kɛkɛ	k ɛ k ɛ				215				
35906	Lushai	black	black	dum	d u m				3433				
35907	Lushai	black	black	hâng	h â ŋ				10222				
36214	Beijing	black	black	xei⁵⁵	x e i ⁵⁵			黑	519				
36215	Guangzhou	black	black	hɐk⁵	h ɐ k ⁵			黑	519				
36216	Chaozhou		black	ou³³	o u ³³				1628				
36217	Longgang		black	vu³³	v u ³³				1628				
36218	Jieyang		black	ou³³	o u ³³				1628				
36219	Xingning		black	vu⁴⁵	v u ⁴⁵				1628				
37556	Ukhrul	black (be v.)	black	kə-tsik	k ə + ts i k				10223				
37557	Ukhrul	black (be v.)	black	kʰə-mə-haŋ	kʰ ə + m ə + h a ŋ				10222				
37766	Hayu	black (adj)	black	khaktshiŋmi	kʰ a k tsʰ i ŋ m i				215				
38306	Mikir		black	ìk	ì/i k		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «ik(-kui, -sip, -vu); [...]» (page: 207)		10326				
38612	Rabha	black	black	ak	a k				10325				
#
1503	Old_Tibetan	cold	cold (of temperature)	graŋ-	g r a ŋ +			冷	933				
1516	Khaling	cold	cold (of temperature)	tshʌkpɛ	tsʰ ʌ k p ɛ			冷	325				
1517	Limbu	cold	cold (of temperature)	ci:kt-	c iː k t +			冷	325				
1532	Japhug	cold	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ			冷	1002				
1536	Tangut	cold	cold (of temperature)	dạ²	d ạ/a ²			冷	1002				
17061	Jingpho	cold (weather, water)	cold (of temperature)	kă³¹ʃuŋ³³	k ă ³¹ + ʃ u ŋ ³³				492				
17213	Motuo_Menba	cold (weather)	cold (of temperature)	per bu	p e r _ b u				587				
17871	Tibetan_Xiahe	cold (weather)	cold (of temperature)	tɕaŋ	tɕ a ŋ				933				
18059	rGyalrong_Maerkang	cold (weather, water)	cold (of temperature)	kə mə ʃtɑk	k ə _ m ə _ ʃ t ɑ k				1002				
18417	Tibetan_Lhasa	cold (weather, water)	cold (of temperature)	tʂhəŋ¹³ŋu⁵⁵	ʈʂʰ ə ŋ ¹³ + ŋ u ⁵⁵				933				
18418	Tibetan_Lhasa	cold (weather, water)	cold (of temperature)	cha⁵⁵ko⁵⁵	ch a ⁵⁵ + k o ⁵⁵				1102				
19366	Daofu	cold (weather, water)	cold (of temperature)	ʂkhu ʂkhu	ʂ kʰ u + ʂ kʰ u				1384				
20034	Tibetan_Batang	cold (weather, water)	cold (of temperature)	tʂõ¹³mᴜ⁵³	ʈʂ õ ∼ ¹³ + m u ⁵³				933				
21835	Zhaba_Daofu_County	cold (water)	cold (of temperature)	vɪ⁵⁵vɪ⁵⁵	v ɪ ⁵⁵ + v ɪ ⁵⁵				2307				
21922	Darang_Taraon	cold (weather, water)	cold (of temperature)	dzoŋ⁵³	dz o ŋ ⁵³				2160				
22295	Dulong	cold (weather, water)	cold (of temperature)	tit⁵⁵	t i t ⁵⁵				2433				
22615	Tibetan_Xiahe	cold (water)	cold (of temperature)	tɕhaχ kwa	tɕʰ a χ _ k w a				1102				
23750	Lisu	cold (weather, water)	cold (of temperature)	dʑɛ̱³³	dʑ ɛ̠ ³³				2719				
23844	Bokar	cold (weather, water)	cold (of temperature)	ɦɯ tɕir	ɦ ɯ + tɕ i r				3281				
24018	Zhaba_Daofu_County	cold (weather)	cold (of temperature)	ʌ⁵⁵guɛ⁵⁵	ʌ ⁵⁵ + g u ɛ ⁵⁵				2793				
24788	Tibetan_Alike	cold (weather, water)	cold (of temperature)	ncçhak	n cçʰ a k				1102				
25093	Yidu	cold (weather, water)	cold (of temperature)	dio⁵⁵ɕi⁵⁵	d i o ⁵⁵ + ɕ i ⁵⁵				2989				
30786	Old_Chinese		cold (of temperature)	Craŋ	C/ + r a ŋ		WT grang-ba	冷	933				
31061	Old_Burmese		cold (of temperature)	ʔeḥ	ʔ e ḥ/				3264				
31577	Wobzi_Khroskyabs		cold (of temperature)	rkʰô	r kʰ ô/o				1384				
31830	Chepang	cold (weather, person)	cold (of temperature)	jhyuŋ-	dʒʰ j u ŋ				2160				
32067	Khaling		cold (of temperature)	dzhūŋ lʉ	dzʰ ū/u ŋ + + l ʉ				2160				
32094	Garo	cold (vi)	cold (of temperature)	chik-jim-a	cʰ i k + j i m + a				325				
32401	Thulung		cold (of temperature)	tshʌkpa	tsʰ ʌ k p a				325				
32668	Hakha_Chin	cold (adj.)	cold (of temperature)	a kik	k i k		[full entry: ]		4119				
32976	Bunan	cold	cold (of temperature)	gartɕam	g a r tɕ a m		Comment (by Widmer2014): «WT cham pa»		182				
33102	Bunan	cold	cold (of temperature)	soj	s o j				279				
33172	Hakha_Chin		cold (of temperature)	sik	s i k + s i ʔ				325				
33185	Byangsi	cold	cold (of temperature)	khat	kʰ a t				333				
33406	Rongpo	cold, winter	cold (of temperature)	sod	s o d				279				
33637	Kulung	cold, cool (adj.)	cold (of temperature)	chikchilikpa	tʃʰ i k tʃʰ i l i k p a		Nepali: ciso. (Tolsma1999)		325				
33882	Bantawa	be cold	cold (of temperature)	keŋma (keŋa)	k e ŋ				758				
34321	Achang_Longchuan	cold (weather, water)	cold (of temperature)	kʐuat⁵⁵	k ʐ u a t ⁵⁵		bad concept		956				
34322	Atsi	cold (weather, water)	cold (of temperature)	kjoʔ²¹	k j o ʔ ²¹		bad concept		956				
34323	Bola	cold (weather, water)	cold (of temperature)	kjaʔ³¹	k j a ʔ ³¹		bad concept		956				
34324	Lashi	cold (weather, water)	cold (of temperature)	ŋaːm⁵⁵	ŋ aː m ⁵⁵		bad concept		957				
34325	Maru	cold (weather, water)	cold (of temperature)	kjɔʔ³¹	k j ɔ ʔ ³¹		bad concept		956				
34326	Xiandao	cold (weather, water)	cold (of temperature)	kʐot⁵⁵	k ʐ o t ⁵⁵		bad concept		956				
34726	Rangoon		cold (of temperature)	ʨʰɑ̃⁵⁵	tɕʰ ɑ̃ ∼ ⁵⁵		bad concept		1083				
34736	Rangoon		cold (of temperature)	e⁵⁵	e ⁵⁵		bad concept		3264				
35717	Bahing	cold (n)	cold (of temperature)	dzuːmi	d z uː m i				2160				
35908	Lushai	cold	cold (of temperature)	vâwt	v â/a w/u t				1468				
35909	Lushai	cold	cold (of temperature)	dai	d a i				1469				
36220	Beijing	cold	cold (of temperature)	lɤŋ²¹⁴	l ɤ ŋ ²¹⁴			冷	933				
36221	Guangzhou	cold	cold (of temperature)	laŋ²³	l a ŋ ²³			冷	933				
36222	Guangzhou	cold	cold (of temperature)	tʊŋ³³	t ʊ ŋ ³³			凍	1629				
36223	Chaozhou		cold (of temperature)	ŋaŋ⁵⁵	ŋ a ŋ ⁵⁵				1630				
36224	Longgang		cold (of temperature)	laŋ³³	l a ŋ ³³				933				
36225	Jieyang		cold (of temperature)	ŋaŋ⁵⁵	ŋ a ŋ ⁵⁵				1630				
36226	Xingning		cold (of temperature)	laŋ²¹	l a ŋ ²¹				933				
37558	Ukhrul	cold	cold (of temperature)	kʰə-mə-ku	kʰ ə + m ə + k u				2032				
37767	Hayu	cold (temperature) (n)	cold (of temperature)	dzũːsa	d z ũː s a				2160				
38018	Tangut		cold (of temperature)	dʑjij	dʑ j i j				10187				
38333	Mikir		cold (of temperature)	ingsām	i ng s ā m		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «kechung, kangsam; (-- wheather) ningkreng, chungjing[...]» (page: 229)		10337				
38627	Rabha	cold (weather, water)	cold (of temperature)	sí-xam	s í/i + x a m				10336				
38691	Rabha		cold (of temperature)	cɨk	c ɨ k				325				
#
2033	Old_Tibetan		dirty	btsog	b ts o g			脏	599				
2062	Japhug		dirty	ɴqʰi	ɴ qʰ i			脏	1104				
17076	Jingpho	dirty	dirty	mă³¹tsaʔ³¹	m ă ³¹ + ts a ʔ ³¹				502				
17226	Motuo_Menba	dirty	dirty	tsok pa	ts o k _ p a	tib btsog			599				
17946	Tibetan_Xiahe	dirty	dirty	hdzo to	ʰdz o _ t o				599				
18066	Zhaba_Daofu_County	dirty	dirty	ma³³ʂtsᴜ̃⁵⁵ma³³	m a ³³ + ʂ ts ũ ∼ ⁵⁵ + m a ³³	Tibetan[gtsaŋ]			1005				
18071	rGyalrong_Maerkang	dirty	dirty	mɑk ʃo	m ɑ k _ ʃ o				1009				
18436	Tibetan_Lhasa	dirty	dirty	tsok⁵⁵pa⁵⁵	ts o k ⁵⁵ + p a ⁵⁵				599				
19384	Daofu	dirty	dirty	mi xtsoŋ	m i + x ts o ŋ	Tibetan[mi.gtsaŋ]			1005				
19799	Dulong	dirty	dirty	ȵim⁵⁵	ȵ i m ⁵⁵				2024				
20044	Tibetan_Batang	dirty	dirty	tso⁵⁵pa⁵³	ts o ⁵⁵ + p a ⁵³				599				
21935	Darang_Taraon	dirty	dirty	kɑ³¹pɯ⁵³	k ɑ ³¹ + p ɯ ⁵³				2332				
23768	Lisu	dirty	dirty	nɛ̱³³le³³	n ɛ̠ ³³ + l e ³³				2726				
24802	Tibetan_Alike	dirty	dirty	rtsok kwa	r ts o k _ k w a				599				
25100	Yidu	dirty	dirty	pɹɑ⁵⁵liɑ⁵⁵mi⁵⁵	p ɹ ɑ ⁵⁵ + l i ɑ ⁵⁵ + m i ⁵⁵				2990				
25111	Bokar	dirty	dirty	ka naŋ	k a + n a ŋ				2993				
25596	Tibetan_Alike	dirty	dirty	mȵok	m ȵ o k				3080				
30335	Khaling		dirty	phor	pʰ o r	Nepali			3497				
30799	Old_Chinese		dirty	qʷˤra	qʷˤ r a			脏	1876				
31064	Old_Burmese		dirty	ññac◦pat	ññ/ɲː a c + p a t				1364				
31587	Wobzi_Khroskyabs		dirty	lqʰǽl	l qʰ ǽ/æ l				1104				
31841	Chepang	untidy, dirty	dirty	ʔə.də bə.də	ʔ ə + d ə + b ə + d ə				3804				
32105	Garo	dirty (adv)	dirty	kal-si-a	k a l + s i + a				3931				
32678	Hakha_Chin	dirty (adj.)	dirty	a hnawmmi , a thurmi	hn/n̥ ǒo/o m + hn/n̥ o m ʔ		[full entry: ]		4121				
33100	Bunan	dirty	dirty	sej	s e j				277				
33186	Byangsi	dirty	dirty	khi:tɛ	kʰ iː t ɛ				334				
33408	Rongpo	dirty	dirty	mɛla	m ɛ l a	nepali mailo			468				
34406	Achang_Longchuan	dirty	dirty	ək³⁵	ə k ³⁵				986				
34407	Atsi	dirty	dirty	tʃhaʔ⁵⁵	tʃʰ a ʔ ⁵⁵				987				
34408	Bola	dirty	dirty	lu̱³⁵	l ṵ ³⁵				988				
34409	Lashi	dirty	dirty	a³¹san⁵⁵	a ³¹ + s a n ⁵⁵				989				
34410	Maru	dirty	dirty	la̱u³⁵	l a̰ u ³⁵				988				
34411	Xiandao	dirty	dirty	ɤk³⁵	ɤ k ³⁵				986				
35700	Rangoon		dirty	ȵiʔ⁴pɑʔ⁴	nʲ i ʔ ⁴ + p ɑ ʔ ⁴				1364				
35719	Bahing	infested, dirty (be v.)	dirty	tsa-	ts a				871				
35912	Lushai	dirty	dirty	bâl	b â l				1472				
36234	Beijing	*dirty	dirty	tsɑŋ⁵⁵	ts ɑ ŋ ⁵⁵		**concept**: concept is ángzàng as gloss, so not zàng, but it seems to be consistent for our case. @lingulist, 6/2/2017, 9:58:30 AM	髒	1633				
36235	Guangzhou	*dirty	dirty	wu⁵³tsou⁵³	w u ⁵³ ts o u ⁵³			汚糟	1876				
36236	Guangzhou	*dirty	dirty	la²³tsa³⁵	l a ²³ ts a ³⁵			!	10294				
36237	Chaozhou		dirty	tsʰi³³i⁵⁵	tsʰ i ³³ i ⁵⁵				1635				
36238	Longgang		dirty	lɔ⁴⁴sɔ⁵⁵	l ɔ ⁴⁴ s ɔ ⁵⁵				10292				
36239	Jieyang		dirty	tsʰi³³i⁵⁵	tsʰ i ³³ i ⁵⁵				1635				
36240	Xingning		dirty	lui⁵⁵tʂui⁵³	l u i ⁵⁵ ʈʂ u i ⁵³				10293				
36241	Jieyang		dirty	naʔ⁵₂sap²	n a ʔ ²/⁵ s a p ²				1634				
36242	Chaozhou		dirty	laʔ⁵₂sap²	l a ʔ ²/⁵ s a p ²				1634				
37560	Ukhrul	dirty	dirty	kʰə-mə-kʰow	kʰ ə + m ə + kʰ o w				2034				
37770	Hayu	be stained, soiled (vtt (im)	dirty	bɩ(t)	b ɿ t				1472				
38136	Tangut		dirty	tɕior	tɕ i o r				10192				
38463	Mikir		dirty	tèr	t è/e r		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «hijimmai, ningni, ter, mui» (page: 253)		10343				
38628	Rabha	dirty	dirty	tʰel-tʰel	tʰ e l + tʰ e l				10343				
#
2245	Old_Tibetan	dry	dry	skam-	s k a m +			干	1092				
2258	Khaling	dry	dry	dhoŋ	dʰ o ŋ			干	875				
2259	Limbu	dry	dry	kaŋ-	k a ŋ +			干	505				
2274	Japhug	dry	dry	zbaʁ	z b a ʁ			干	1199				
2278	Tangut	dry	dry	rowr¹	r o w r ¹			干	993				
17077	Jingpho	dry (inside of object)	dry	kh◦ʒoʔ⁵⁵	kʰ ʒ o ʔ ⁵⁵		not a loan < Burmese: Proto-Northern-Naga *C̥-kʰroːk  'dry'		220				
17082	Jingpho	dry (of damp objects: become dry)	dry	ka̱³³	k a̠ ³³				29709				
18007	Motuo_Menba	dry	dry	saŋ ma	s a ŋ _ m a				976				
18038	rGyalrong_Maerkang	dry	dry	kə rɑm	k ə _ r ɑ m				993				
18385	Tibetan_Lhasa	dry	dry	kam⁵⁵po⁵⁵	k a m ⁵⁵ + p o ⁵⁵				1092				
19328	Daofu	dry	dry	ɣro ɣro	ɣ r o + ɣ r o				993				
19757	Dulong	dry	dry	kam⁵⁵	k a m ⁵⁵		overwrite original source, as the word seems to be wrong (semantics are unclear, and the word is not well represented in the group)		1092				
19758	Dulong	dry	dry	n⁵⁵	n ⁵⁵				1594				
20006	Tibetan_Batang	dry	dry	ka⁵⁵mbᴜ⁵³	k a ⁵⁵ + m b u ⁵³				1092				
20229	Tibetan_Xiahe	dry	dry	hka mbo	h k a _ m b o				1092				
20359	Tibetan_Alike	dry	dry	rkam bo	r k a m _ b o				1092				
21659	Yidu	dry	dry	ɕɑŋ³⁵	ɕ ɑ ŋ ³⁵				2272				
21801	Zhaba_Daofu_County	dry	dry	tʂy³³tʂy⁵⁵	ʈʂ y ³³ + ʈʂ y ⁵⁵				2297				
21895	Darang_Taraon	dry	dry	ɕoŋ³⁵	ɕ o ŋ ³⁵				2272				
23815	Bokar	dry	dry	ɕen	ɕ e n				2743				
23826	Lisu	dry	dry	dʒu̱³³	dʒ u̠ ³³				2748				
30803	Old_Chinese		dry	kˤar	kˤ a r			干	1636				
31065	Old_Burmese		dry	khro₂k	kʰ r o₂/o k				220				
31302	Japhug		dry	rom	r o m				993				
31309	Japhug		dry	spɯ	s p ɯ				3703				
31591	Wobzi_Khroskyabs		dry	zbî	z b î/i				1199				
31845	Chepang	dry	dry	sot-	s o t				1369				
32109	Garo	dry; thirsty (vi)	dry	ran•-a	r a n ʔ + a				3934				
32405	Thulung		dry	saʈpa	s a ʈ p a				1369				
32682	Hakha_Chin	dry (adj.)	dry	1. a ro, a carmi;	r à/a w + r ǎ/a w		[full entry: 2. lung a tho lomi, ngaih a nuam lomi; e.g. His sermon is dry = A phungchim mi lung a tho lo, ngaih a nuam lo.]		1253				
33022	Bunan	dry	dry	kʰjoj	kʰ j o j				220				
